Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
1094.HK,CHERISH SUN,承辉国际,2026-09-04,2026-09-03,2524.55,24885315,948175,0.375,-11.76,66360840,2231000,266630704
6715.HK,XUNLONG SCITECH,鲟龙科技,2026-09-04,2026-09-03,1567.72,29502331,1769020,75.9,3.83,388700,24200,8264417206
6168.HK,ZHOU LIU FU,周六福,2026-09-04,2026-09-03,1048.64,35850600,3121132,13.5,0.52,2655600,232400,5765391378
6682.HK,PHANCY,范式智能,2026-09-04,2026-09-03,1027.59,640860542,56834409,30.98,14.66,20686267,2103420,16060760815
0600.HK,AXERA,爱芯元智,2026-09-04,2026-09-03,892.52,56611226,5703787,19.44,3.51,2912100,303716,11426064064
0999.HK,XIAOCAIYUAN,小菜园,2026-09-04,2026-09-03,723.86,16285104,1976688,7.59,2.29,2145600,266400,8842553589
3881.HK,CIDI,希迪智驾,2026-09-04,2026-09-03,666.65,29716305,3876129,19.12,6.4,1554200,215700,8372516439
1913.HK,PRADA,普拉达,2026-09-04,2026-09-03,493.11,175966680,29668498,39.34,-0.56,4472971,749962,100664136550
9858.HK,YOURAN DAIRY,优然牧业,2026-09-04,2026-09-03,488.7,228875467,38878178,4.51,7.89,50748438,9301000,20255438554
1610.HK,COFCO JOYCOME,中粮家佳康,2026-09-04,2026-09-03,483.2,68994897,11830306,1.17,9.86,58970000,11108268,5360937841
0434.HK,BOYAA,博雅互动,2026-09-04,2026-09-03,462.45,25356613,4508228,3.13,10.8,8101154,1595833,2264137196
3317.HK,XUNCE,迅策,2026-09-04,2026-09-03,396.63,527030374,106121890,127.9,0.16,4120644,831025,42204109963
1773.HK,TIANLI INT HLDG,天立国际控股,2026-09-04,2026-09-03,368.96,33256081,7091400,1.105,4.25,30096000,6690000,2245337938
2586.HK,DMALL,多点数智,2026-09-04,2026-09-03,355.84,15209531,3336600,4.34,4.58,3504500,804000,3758556491
3877.HK,CSSC SHIPPING,中国船舶租赁,2026-09-04,2026-09-03,350.25,34595839,7683660,2.33,1.53,14848000,3348000,14456822376
1710.HK,TRIO IND ELEC,致丰工业电子,2026-09-04,2026-09-03,336.14,15835520,3630860,1.135,25.41,13952000,4012000,1134999990
0772.HK,CHINA LIT,阅文集团,2026-09-04,2026-09-03,312.82,449034354,108771333,21.78,8.36,20616820,5411509,22140836862
3816.HK,KFM KINGDOM,ＫＦＭ金德,2026-09-04,2026-09-03,304.32,18171200,4494300,3.28,3.63,5540000,1420000,1967999982
0683.HK,KERRY PPT,嘉里建设,2026-09-04,2026-09-03,302.64,70139634,17420119,18.64,0.43,3762856,938584,26965112938
2431.HK,MINIEYE,佑驾创新,2026-09-04,2026-09-03,300.56,79066705,19739049,3.265,3.98,24216448,6286321,1419898290
1675.HK,ASIAINFO TECH,亚信科技,2026-09-04,2026-09-03,295.03,23724936,6005904,4.33,2.61,5479200,1423200,4070032530
9611.HK,LONGCHEER,龙旗科技,2026-09-04,2026-09-03,288.18,19069919,4912662,22.8,3.54,836400,223100,11915066284
0004.HK,WHARF HOLDINGS,九龙仓集团,2026-09-04,2026-09-03,280.47,24261048,6376627,19.13,1.7,1268220,339002,58461800200
2419.HK,DEKON AGR,德康农牧,2026-09-04,2026-09-03,273.24,164157400,43981275,62.0,4.64,2647700,742300,23892130032
0325.HK,BLOKS,布鲁可,2026-09-04,2026-09-03,269.71,120494249,32591370,76.6,4.22,1573032,443420,18870382431
1347.HK,HUA HONG GRACE,华虹宏力,2026-09-04,2026-09-03,255.01,6169433157,1737839210,109.7,-8.43,56239137,14506170,190616271669
2158.HK,YIDU TECH,医渡科技,2026-09-04,2026-09-03,254.22,54508440,15388152,3.965,6.59,13747400,4136600,4043540951
2697.HK,TH MEDICAL-B,真健康医疗－Ｂ,2026-09-04,2026-09-03,252.22,19374300,5500560,570.0,-7.32,33990,8944,
3888.HK,KINGSOFT,金山软件,2026-09-04,2026-09-03,251.94,502359047,142738740,25.6,4.49,19623400,5826071,34723403371
0376.HK,YUNFENG FIN,云锋金融,2026-09-04,2026-09-03,249.05,21864630,6264000,2.155,7.75,10146000,3132000,8714539747
0777.HK,NETDRAGON,网龙,2026-09-04,2026-09-03,247.92,22531924,6476120,8.45,5.43,2666500,808000,4445547003
9636.HK,JF SMARTINVEST,九方智投控股,2026-09-04,2026-09-03,242.12,94264704,27553240,30.08,5.17,3133800,963400,13933774876
2048.HK,E-HOUSE ENT,易居企业控股,2026-09-04,2026-09-03,237.9,20651118,6111683,0.098,30.67,210725700,81489100,171407829
1918.HK,SUNAC,融创中国,2026-09-04,2026-09-03,229.5,380667853,115528000,0.64,14.29,594793533,206300000,12729071472
0780.HK,TONGCHENGTRAVEL,同程旅行,2026-09-04,2026-09-03,227.47,1021422233,311913754,12.02,6.84,84976888,27725667,28297630062
1779.HK,LONGBIO-B,天辰生物－Ｂ,2026-09-04,2026-09-03,224.7,35065600,10799400,128.0,4.07,273950,87800,9769228800
2714.HK,MUYUAN,牧原股份,2026-09-04,2026-09-03,224.41,300402472,92598281,39.12,9.21,7679000,2585100,225839602987
9888.HK,BIDU-W,百度集团－Ｗ,2026-09-04,2026-09-03,221.58,2188443789,680526766,95.9,4.81,22820060,7437451,260223910915
2285.HK,CHERVON,泉峰控股,2026-09-04,2026-09-03,220.36,17040721,5319314,20.2,0.9,843600,265700,10276827370
2691.HK,NANHUA FUTURES,南华期货股份,2026-09-04,2026-09-03,218.81,34733772,10894812,7.08,6.87,4905900,1644500,7350063263
1548.HK,GENSCRIPT BIO,金斯瑞生物科技,2026-09-04,2026-09-03,215.24,3105425822,985107601,31.46,-13.33,98710296,27137951,69152345265
3896.HK,KINGSOFT CLOUD,金山云,2026-09-04,2026-09-03,212.57,541175500,173138194,5.705,6.34,94859861,32271799,25618558722
1651.HK,TSUGAMI CHINA,津上机床中国,2026-09-04,2026-09-03,197.08,75624194,25455674,52.75,3.33,1433634,498642,19444388500
1357.HK,MEITU,美图公司,2026-09-04,2026-09-03,194.37,613992309,208579777,4.95,5.77,124038855,44568330,22389724198
1191.HK,CREALIGHTS,海光芯正,2026-09-04,2026-09-03,191.55,28544250,9790527,105.0,9.49,271850,102091,9613458225
6651.HK,51WORLD,五一视界,2026-09-04,2026-09-03,189.77,169296604,58423640,62.15,2.73,2724000,965680,26070022047
1384.HK,DEEPEXI TECH,滴普科技,2026-09-04,2026-09-03,185.0,451505739,158424918,35.76,4.5,12626000,4629600,12475233014
1302.HK,LIFETECH SCI,先健科技,2026-09-04,2026-09-03,179.6,17672600,6320700,1.385,2.59,12760000,4682000,6095062807
0317.HK,COMEC,中船防务,2026-09-04,2026-09-03,170.51,117966691,43609546,13.35,5.95,8836456,3461075,18870310685
6886.HK,HTSC,HTSC,2026-09-04,2026-09-03,166.63,309664266,116138173,18.07,2.96,17136927,6617560,163115425858
0981.HK,SMIC,中芯国际,2026-09-04,2026-09-03,164.27,5707918349,2159881374,67.2,-1.25,84939265,31739622,575286136738
2696.HK,HENLIUS,复宏汉霖,2026-09-04,2026-09-03,163.68,61867244,23463191,70.1,1.52,882557,339800,38218631538
2249.HK,NEXCHIP,晶合集成,2026-09-04,2026-09-03,159.56,55973844,21564769,27.3,-3.53,2050324,762006,61005823093
2556.HK,MARKETINGFORCE,迈富时,2026-09-04,2026-09-03,158.85,945188113,365154938,67.6,13.52,13982073,6131905,18099007271
1768.HK,BUSYMING,鸣鸣很忙,2026-09-04,2026-09-03,158.61,158207103,61176220,405.2,-0.98,390442,149502,88267879219
0565.HK,ART GROUP HOLD,锦艺集团控股,2026-09-04,2026-09-03,158.32,71725749,27766701,3.79,12.13,18925000,8215000,10190571465
1896.HK,MAOYAN ENT,猫眼娱乐,2026-09-04,2026-09-03,153.4,42648096,16830496,4.265,1.19,9999554,3993000,5007716142
0800.HK,WERIDE-W,文远知行－Ｗ,2026-09-04,2026-09-03,150.76,26669021,10635264,15.98,4.04,1668900,692400,15770156020
0354.HK,CHINASOFT INT'L,中国软件国际,2026-09-04,2026-09-03,149.76,301707834,120798603,4.08,4.62,73948000,30974000,10032046286
3606.HK,FUYAO GLASS,福耀玻璃,2026-09-04,2026-09-03,149.69,268704911,107616419,56.35,1.62,4768499,1940783,147059044046
9660.HK,HORIZONROBOT-W,地平线机器人－Ｗ,2026-09-04,2026-09-03,148.49,1031658964,415170253,4.355,-0.34,236890691,95004637,63459854748
2473.HK,XXF,喜相逢集团,2026-09-04,2026-09-03,147.04,27311312,11055375,0.475,5.56,57497500,24567500,881718738
9993.HK,RADIANCE HLDGS,金辉控股,2026-09-04,2026-09-03,142.93,122641362,50485120,1.155,3.12,106183000,45076000,4672237069
9880.HK,UBTECH ROBOTICS,优必选,2026-09-04,2026-09-03,140.21,1204544107,501453096,85.65,8.28,14063562,6339483,43116328451
6808.HK,SUNART RETAIL,高鑫零售,2026-09-04,2026-09-03,140.09,16964769,7065975,1.06,0.95,16004500,6729500,10112934436
2380.HK,CHINA POWER,中国电力,2026-09-04,2026-09-03,138.82,80598825,33748456,2.79,-1.59,28888468,11904217,34512720770
2888.HK,STANCHART,渣打集团,2026-09-04,2026-09-03,136.06,379556772,160789723,237.4,1.71,1598807,688902,518133824166
1046.HK,UNIVERSE ENT,寰宇娱乐文化,2026-09-04,2026-09-03,135.89,16901764,7165125,0.77,14.07,21950344,10615000,698106835
9678.HK,UNISOUND,云知声,2026-09-04,2026-09-03,135.69,723635992,307034533,86.0,9.9,8414372,3923764,6189212998
2588.HK,BOC AVIATION,中银航空租赁,2026-09-04,2026-09-03,135.64,84471727,35847328,73.1,1.67,1155564,498572,50732154356
2423.HK,BEKE-W,贝壳－Ｗ,2026-09-04,2026-09-03,135.0,559702877,238169158,47.96,3.27,11670202,5128535,158641363845
6099.HK,CMSC,招商证券,2026-09-04,2026-09-03,133.0,98141524,42121334,15.76,2.01,6227254,2726300,137057264453
0119.HK,POLY PROPERTY,保利置业集团,2026-09-04,2026-09-03,132.52,45185851,19433071,1.35,2.66,33471000,14778000,5158597300
6969.HK,SMOORE INTL,思摩尔国际,2026-09-04,2026-09-03,130.13,135213615,58754690,9.83,-3.82,13755200,5748991,60898557106
2661.HK,QINGSONG HEALTH,轻松健康,2026-09-04,2026-09-03,130.06,48639643,21142449,4.985,3.42,9757200,4386400,1006938412
9926.HK,AKESO,康方生物,2026-09-04,2026-09-03,129.65,3608951686,1571487003,101.2,11.45,35661579,17307125,93219686600
0136.HK,CHINA RUYI,中国儒意,2026-09-04,2026-09-03,127.15,313116397,137847371,1.365,11.43,229389300,112528464,21219178848
0005.HK,HSBC HOLDINGS,汇丰控股,2026-09-04,2026-09-03,124.86,5143514403,2287388380,166.7,1.96,30854916,13990143,2855576589851
6655.HK,HX BLDG MAT,华新建材,2026-09-04,2026-09-03,124.37,118920645,53002033,16.83,6.52,7065992,3354559,34989496614
6656.HK,SIGENERGY,思格新能,2026-09-04,2026-09-03,123.88,130341914,58220578,361.2,6.67,360858,171945,89878457353
9999.HK,NTES,网易,2026-09-04,2026-09-03,123.77,2443090199,1091764641,189.1,3.33,12919567,5965927,605356580045
6887.HK,SUNSHINE PHARMA,东阳光药,2026-09-04,2026-09-03,123.03,30270384,13572149,37.48,-2.55,807641,352890,21534843870
6078.HK,HYGEIA HEALTH,海吉亚医疗,2026-09-04,2026-09-03,122.26,29117056,13100537,10.65,4.11,2733996,1280600,6440740629
3996.HK,CH ENERGY ENG,中国能源建设,2026-09-04,2026-09-03,122.09,21022362,9465700,1.045,1.46,20117094,9190000,46230989590
0267.HK,CITIC,中信股份,2026-09-04,2026-09-03,120.54,564799325,256095204,13.91,4.82,40603834,19298809,404645548744
2007.HK,COUNTRY GARDEN,碧桂园,2026-09-04,2026-09-03,119.63,96248762,43824051,0.199,6.42,483662118,234353204,9298652033
2676.HK,NOVOSENSE,纳芯微,2026-09-04,2026-09-03,119.6,35936799,16364400,154.9,-0.71,232000,104900,25326961762
2432.HK,DOBOT,越疆,2026-09-04,2026-09-03,119.12,126997182,57957308,23.26,4.96,5459896,2615402,10233362704
1519.HK,J&T EXPRESS-W,极兔速递－Ｗ,2026-09-04,2026-09-03,118.95,370576588,169253544,9.665,-0.77,38342120,17377161,93119830962
6066.HK,CSC,中信建投证券,2026-09-04,2026-09-03,118.9,121530061,55518320,12.28,2.68,9896585,4642000,95252210035
1753.HK,DUIBA,兑吧,2026-09-04,2026-09-03,117.43,15708568,7224672,0.62,19.23,25336400,13893600,667630389
1579.HK,YIHAI INTL,颐海国际,2026-09-04,2026-09-03,116.44,46008252,21256619,15.29,2.07,3009042,1419000,14833318242
6681.HK,BRAINAURORA-B,脑动极光－Ｂ,2026-09-04,2026-09-03,115.74,17267160,8003520,1.48,2.78,11667000,5558000,2010251465
2225.HK,JINHAI MED TECH,今海医疗科技,2026-09-04,2026-09-03,115.45,39388174,18281460,4.2,-6.98,9378137,4049050,22217998991
9911.HK,NEWBORNTOWN,赤子城科技,2026-09-04,2026-09-03,114.88,141094436,65660545,8.945,5.24,15773554,7724770,12517653960
0268.HK,KINGDEE INT'L,金蝶国际,2026-09-04,2026-09-03,114.3,601768636,280801805,8.895,7.69,67652457,33995375,31084011138
0856.HK,VSTECS,伟仕佳杰,2026-09-04,2026-09-03,110.47,42246180,20072079,10.17,3.56,4154000,2044000,14540944048
1316.HK,NEXTEER,耐世特,2026-09-04,2026-09-03,109.99,103680085,49372740,4.935,-6.45,21009136,9359761,12385982742
0003.HK,HK & CHINA GAS,香港中华煤气,2026-09-04,2026-09-03,109.98,306067698,145762783,7.1,0.07,43108127,20544438,132485075916
0290.HK,GOFINTECH QUANT,国富量子,2026-09-04,2026-09-03,108.36,86685592,41603551,1.755,1.74,49393500,24118000,18083261288
9969.HK,INNOCARE,诺诚健华,2026-09-04,2026-09-03,106.91,223003328,107776693,15.37,4.06,14509000,7297000,27152964598
2018.HK,AAC TECH,瑞声科技,2026-09-04,2026-09-03,105.55,270487195,131592389,42.96,1.51,6296257,3109461,49625028142
0020.HK,SENSETIME-W,商汤－Ｗ,2026-09-04,2026-09-03,104.62,1134532389,554468647,1.445,5.86,785143493,406204134,58546475691
2609.HK,BAYZED HEALTH,佰泽医疗,2026-09-04,2026-09-03,104.2,41620561,20382516,2.96,-0.34,14061000,6862800,3902661846
1953.HK,RIMBACO,RIMBACO,2026-09-04,2026-09-03,102.58,21254401,10492025,1.44,12.06,14760000,8165000,1814400072
