Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
0209.HK,POLY XVERSE IT,万维智能科技,2026-07-17,2026-07-16,1677.06,169456942,9535800,0.48,4.35,353035304,20730000,713122451
2291.HK,,,2026-07-17,2026-07-16,812.12,111264567,12198485,11.07,-1.34,10051000,1087209,3817921091
6162.HK,,天瑞汽车内饰,2026-07-17,2026-07-16,447.15,39644001,7245520,0.55,34.15,72080000,17672000,1320000028
3110.HK,,,2026-07-17,2026-07-16,360.71,63616802,13808415,30.4,-0.26,2092658,453032,
0117.HK,TIANLI HOLDINGS,天利控股集团,2026-07-17,2026-07-16,292.67,27381548,6973180,2.64,-12.58,10371798,2309000,1966140078
1836.HK,,九兴控股,2026-07-17,2026-07-16,237.8,57785861,17106625,13.64,6.65,4236500,1337500,11473879628
0006.HK,POWER ASSETS,电能实业,2026-07-17,2026-07-16,210.95,297828873,95779538,59.8,3.01,4980416,1649949,127440086583
0285.HK,,,2026-07-17,2026-07-16,198.35,839886655,281505913,23.98,2.22,35024465,11999400,53861680801
0003.HK,HK & CHINA GAS,香港中华煤气,2026-07-17,2026-07-16,197.97,254127683,85285773,6.8,1.64,37371717,12748247,126887120225
1038.HK,,,2026-07-17,2026-07-16,187.1,136812428,47653174,62.25,1.63,2197790,778011,156845781326
1109.HK,,,2026-07-17,2026-07-16,179.19,1814276982,649824373,33.72,-2.6,53804179,18770202,240455291308
0179.HK,JOHNSON ELEC H,德昌电机控股,2026-07-17,2026-07-16,175.74,241168984,87463217,17.53,-10.65,13757500,4457860,16245455422
6110.HK,,滔搏,2026-07-17,2026-07-16,173.52,52767569,19292172,1.91,3.24,27627000,10428201,11844333858
1798.HK,,大唐新能源,2026-07-17,2026-07-16,172.37,42223941,15502426,1.28,3.23,32987455,12501956,9310337071
0291.HK,,,2026-07-17,2026-07-16,163.26,529101166,200983859,23.7,-0.17,22324943,8466043,76882802474
0133.HK,CHINA MERCHANTS,招商局中国基金,2026-07-17,2026-07-16,163.09,62434290,23731524,25.44,5.47,2454178,983894,3875351932
0857.HK,,,2026-07-17,2026-07-16,162.7,1168086607,444648550,9.59,1.27,121802564,46953383,1755171205201
7568.HK,,南方两倍做空纳斯达克100,2026-07-17,2026-07-16,151.82,30993504,12307569,2.492,5.95,12437200,5232810,
0902.HK,,华能国际电力股份,2026-07-17,2026-07-16,133.01,262363426,112598531,5.79,3.21,45313200,20071039,90891959949
0981.HK,,,2026-07-17,2026-07-16,117.85,16721335305,7675487194,67.7,-9.97,246991670,102067653,579566539735
0568.HK,,山东墨龙,2026-07-17,2026-07-16,101.62,740083504,367074513,5.8,5.84,127600600,66984400,5387211480
0177.HK,JIANGSU EXPRESS,江苏宁沪高速公路,2026-07-17,2026-07-16,90.57,48867722,25642575,9.87,0.2,4951137,2603307,49722567248
1658.HK,,,2026-07-17,2026-07-16,80.42,213770681,118487280,4.85,1.04,44076430,24684849,582460997983
0119.HK,POLY PROPERTY,保利置业集团,2026-07-17,2026-07-16,79.08,27428484,15316079,1.5,-3.85,18285656,9818000,5731774677
7347.HK,,南方两倍做空三星电子,2026-07-17,2026-07-16,78.09,117963499,66238512,1.672,24.04,70552330,49138360,
7747.HK,,,2026-07-17,2026-07-16,75.91,3472284994,1973886080,67.2,-19.04,51670910,23781760,
0004.HK,WHARF HOLDINGS,九龙仓集团,2026-07-17,2026-07-16,72.88,22581724,13062144,18.81,-1.57,1200517,683524,57483872388
0836.HK,,,2026-07-17,2026-07-16,70.39,388657683,228095641,18.17,1.79,21390076,12778467,94067139530
1876.HK,,,2026-07-17,2026-07-16,69.37,90305634,53317431,6.54,0.77,13808201,8215321,86522688781
