Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
1995.HK,ES SERVICES,永升服务,2026-07-13,2026-07-10,1954.64,45815220,2229840,1.62,-5.26,28281000,1304000,2771580248
2697.HK,TH MEDICAL-B,真健康医疗－Ｂ,2026-07-13,2026-07-10,525.61,53621768,8571128,478.8,31.61,111992,23560,
1798.HK,DATANG RENEW,大唐新能源,2026-07-13,2026-07-10,345.02,28870614,6487487,1.2,-3.23,24058844,5231844,8728441546
6162.HK,TR INTERIORS,天瑞汽车内饰,2026-07-13,2026-07-10,329.43,52101599,12132640,0.4,5.26,130253996,31928000,960000014
9887.HK,LEADS BIOLABS-B,维立志博－Ｂ,2026-07-13,2026-07-10,327.46,350038798,81888765,59.5,19.19,5883005,1640400,11834062100
0881.HK,ZHONGSHENG HLDG,中升控股,2026-07-13,2026-07-10,313.94,54301596,13118333,4.75,-6.13,11431915,2592556,11243220849
9637.HK,ALEBUND-B,礼邦医药－Ｂ,2026-07-13,2026-07-10,299.4,36809472,9216265,26.24,-15.25,1402800,297683,8917722463
1304.HK,FORTIOR,FORTIOR,2026-07-13,2026-07-10,274.6,59335923,15840000,128.1,-2.95,463200,120000,14746114350
2238.HK,GAC GROUP,广汽集团,2026-07-13,2026-07-10,256.94,77980896,21846983,2.04,-6.85,38225930,9975791,20802014047
1579.HK,YIHAI INTL,颐海国际,2026-07-13,2026-07-10,248.23,60645622,17415240,14.77,4.83,4106000,1236000,14328850084
1117.HK,CH MODERN D,现代牧业,2026-07-13,2026-07-10,238.54,16113059,4759630,1.06,2.91,15201000,4621000,8284476669
3866.HK,BQD,青岛银行,2026-07-13,2026-07-10,237.34,29691000,8801430,4.5,0.67,6598000,1969000,26191596258
0568.HK,SHANDONG MOLONG,山东墨龙,2026-07-13,2026-07-10,232.33,1053216307,316919552,5.47,11.18,192544122,64414542,5080697361
0586.HK,CONCH VENTURE,海螺创业,2026-07-13,2026-07-10,229.52,1371925278,416337027,8.35,-16.42,164302421,41675379,14963543526
6090.HK,BUTONG GROUP,不同集团,2026-07-13,2026-07-10,224.46,217823566,67133727,33.78,12.52,6448300,2236300,2998105890
0719.HK,SHANDONG XINHUA,山东新华制药股份,2026-07-13,2026-07-10,209.48,15472699,4999600,6.1,5.17,2536508,862000,4249768887
2431.HK,MINIEYE,佑驾创新,2026-07-13,2026-07-10,204.71,52159527,17117850,8.18,-0.73,6376470,2077409,3373538465
0177.HK,JIANGSU EXPRESS,江苏宁沪高速公路,2026-07-13,2026-07-10,203.09,48749464,16084184,9.7,1.36,5025718,1680688,48866149789
1988.HK,MINSHENG BANK,民生银行,2026-07-13,2026-07-10,202.89,123307100,40709549,3.29,1.23,37479362,12526015,144044155201
7666.HK,METIS TECHBIO-P,剂泰科技－Ｐ,2026-07-13,2026-07-10,192.88,28586219,9760258,10.94,-12.34,2613000,782072,12938713982
0867.HK,CMS,康哲药业,2026-07-13,2026-07-10,175.55,180899558,65649359,12.35,3.78,14647737,5516753,30049175101
6655.HK,HX BLDG MAT,华新建材,2026-07-13,2026-07-10,159.74,149700364,57634468,13.26,3.11,11289620,4481685,27567482781
2698.HK,SOFTCARE,乐舒适,2026-07-13,2026-07-10,155.29,34147697,13376001,26.6,0.23,1283748,503994,16512596616
2797.HK,QIYUNSHAN FOOD,齐云山食品,2026-07-13,2026-07-10,152.9,43512049,17205301,27.3,116.67,1593848,1365500,2729999923
2650.HK,ZHIDA TECH,挚达科技,2026-07-13,2026-07-10,150.86,769127650,306595910,30.5,32.03,25217300,13272550,9701125392
0297.HK,SINOFERT,中化化肥,2026-07-13,2026-07-10,149.51,78178014,31332500,1.22,-2.4,64080338,25066000,8569836195
3277.HK,GPIXEL,长光辰芯,2026-07-13,2026-07-10,145.95,145692753,59236519,72.8,-12.71,2001274,710270,32402429598
2687.HK,ABLE DIGITAL,卓越睿新,2026-07-13,2026-07-10,128.57,31870800,13943859,156.0,7.29,204300,95900,10400005200
2186.HK,LUYE PHARMA,绿叶制药,2026-07-13,2026-07-10,124.82,216787992,96425278,2.08,8.33,104225000,50221500,8308592877
6818.HK,CEB BANK,中国光大银行,2026-07-13,2026-07-10,119.4,44278910,20182200,2.99,-0.33,14809000,6727400,176665798235
2097.HK,MIXUE GROUP,蜜雪集团,2026-07-13,2026-07-10,118.29,148124448,67856171,211.6,2.82,700021,329719,80327340397
1686.HK,SUNEVISION,新意网集团,2026-07-13,2026-07-10,115.94,45592360,21113606,4.8,-1.84,9498408,4317711,11331885248
1157.HK,ZOOMLION,中联重科,2026-07-13,2026-07-10,114.85,25247514,11751256,6.84,-2.01,3691157,1683561,59155982333
2858.HK,YIXIN,易鑫集团,2026-07-13,2026-07-10,114.41,122495111,57130221,1.27,-14.19,96452845,38601500,8636624118
6880.HK,MOMENTA-W,MOMENTA-W,2026-07-13,2026-07-10,113.5,298901379,140002370,291.2,-1.49,1026447,473621,68588671678
9927.HK,SERES,赛力斯,2026-07-13,2026-07-10,106.19,162536351,78826644,41.32,-13.56,3933600,1649093,71978823221
6600.HK,ONEROBOTICS,卧安机器人,2026-07-13,2026-07-10,103.51,47791080,23483519,60.0,-11.7,796518,345600,13521366000
1675.HK,ASIAINFO TECH,亚信科技,2026-07-13,2026-07-10,103.16,30757407,15139824,4.72,0.21,6516400,3214400,4436617327
6603.HK,IFBH,IFBH,2026-07-13,2026-07-10,102.84,15230720,7508750,6.4,2.4,2379800,1201400,1694579225
7347.HK,,南方两倍做空三星电子,2026-07-13,2026-07-10,102.32,87823268,43407750,1.402,21.91,62641420,37745870,
2096.HK,SIMCERE PHARMA,先声药业,2026-07-13,2026-07-10,101.2,168210001,83602351,12.46,3.06,13500000,6915000,31999754878
