Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
8646.HK,CHINA HONGGUANG,中国宏光,2026-06-22,2026-06-18,3618.28,27237207,732522,0.385,79.91,70745994,3423000,299526142
1985.HK,MICROWARE,美高域,2026-06-22,2026-06-18,925.24,34428401,3358080,3.4,-3.41,10126000,954000,1020000028
0895.HK,DONGJIANG ENV,东江环保,2026-06-22,2026-06-18,876.79,518290049,53060446,2.28,33.33,227320200,31029500,2519983196
0918.HK,MAJESTIC DRAGON,龙翼航空科技,2026-06-22,2026-06-18,785.24,27925681,3154590,0.92,2.22,30354000,3505100,1024943644
2028.HK,JOLIMARK,映美控股,2026-06-22,2026-06-18,753.22,22336541,2617920,0.73,-9.88,30598000,3232000,536884208
1776.HK,GF SEC,广发证券,2026-06-22,2026-06-18,632.09,779104149,106422275,18.6,9.73,41887319,6278600,145542129489
3678.HK,HOLLY FUTURES,弘业期货,2026-06-22,2026-06-18,470.56,67529798,11835741,2.6,9.24,25973000,4973000,2620222126
0990.HK,DEEP SOURCE,至源控股,2026-06-22,2026-06-18,468.51,103533195,18211193,0.59,-15.71,175480000,26015990,8732792944
3388.HK,CREALITY,创想三维,2026-06-22,2026-06-18,460.06,118219085,21108239,27.18,19.21,4349488,925800,12688714087
9890.HK,TANWAN,贪玩,2026-06-22,2026-06-18,430.22,76247233,14380384,11.84,6.47,6439800,1293200,6171471236
1617.HK,NANFANG COMM,南方通信,2026-06-22,2026-06-18,392.55,18300959,3715520,0.71,4.41,25776000,5464000,1154630365
6066.HK,CSC,中信建投证券,2026-06-22,2026-06-18,358.68,452105994,98567374,12.86,8.61,35155988,8324947,99751092426
0301.HK,SANVO CHEMICALS,三和精化,2026-06-22,2026-06-18,319.28,16603703,3960080,3.12,5.76,5321700,1342400,1467834334
0290.HK,GOFINTECH QUANT,国富量子,2026-06-22,2026-06-18,308.62,251395196,61523377,2.03,-3.79,123840000,29158000,20916820511
6656.HK,SIGENERGY,思格新能,2026-06-22,2026-06-18,298.45,157428216,39510432,394.0,13.87,399564,114192,98040174420
1466.HK,BAIJIN LIFE SCI,佰金生命科学,2026-06-22,2026-06-18,276.93,15760566,4181279,0.9,45.16,17511741,6743999,839028654
2166.HK,SMART-CORE,芯智控股,2026-06-22,2026-06-18,269.45,36636034,9916340,3.53,-3.81,10378480,2702000,1725044021
2339.HK,BWI INT'L,京西国际,2026-06-22,2026-06-18,261.34,28922559,8004336,6.7,8.41,4316800,1295200,5772107469
1773.HK,TIANLI INT HLDG,天立国际控股,2026-06-22,2026-06-18,229.81,26005576,7884940,1.15,-3.36,22613545,6626000,2336776951
3908.HK,CICC,中金公司,2026-06-22,2026-06-18,227.89,856504064,261218350,21.72,7.85,39433890,12970127,104848015858
1921.HK,DALIPAL HLDG,达力普控股,2026-06-22,2026-06-18,221.7,23576738,7328773,2.79,-3.79,8450444,2527163,4388072880
2691.HK,NANHUA FUTURES,南华期货股份,2026-06-22,2026-06-18,217.65,18918400,5955800,6.4,4.23,2956000,970000,4903497308
1780.HK,RONGZUN INT'L H,荣尊国际控股,2026-06-22,2026-06-18,208.98,61390902,19868626,3.16,0.32,19427500,6307500,1959200053
2658.HK,TIANYU SEMI,天域半导体,2026-06-22,2026-06-18,201.45,15221760,5049450,51.2,4.49,297300,103050,20135348063
1797.HK,EAST BUY,东方甄选,2026-06-22,2026-06-18,199.79,375064896,125110443,22.9,11.6,16378380,6097000,24107017790
1396.HK,GBA AI COMP,粤港湾智算,2026-06-22,2026-06-18,193.1,164024732,55962466,13.15,3.3,12473364,4396109,20515112854
2718.HK,MININGLAMP-W,明略科技－Ｗ,2026-06-22,2026-06-18,190.03,163824657,56486073,241.4,14.3,678644,267453,35114323377
1081.HK,DAJIN,大金重工,2026-06-22,2026-06-18,188.91,106372800,36818039,66.75,4.95,1593600,578900,49245476595
1052.HK,YUEXIUTRANSPORT,越秀交通基建,2026-06-22,2026-06-18,186.88,37414561,13041920,3.6,-2.17,10392934,3544000,6023384102
2192.HK,MEDLIVE,医脉通,2026-06-22,2026-06-18,181.54,20400719,7246080,6.68,0.3,3054000,1088000,4942924322
3958.HK,DFZQ,东方证券,2026-06-22,2026-06-18,160.48,153986324,59117342,6.1,6.64,25243660,10335200,51829535470
6831.HK,GREEN TEA GROUP,绿茶集团,2026-06-22,2026-06-18,159.87,22075933,8495081,6.17,-2.83,3577947,1337808,4062666166
2009.HK,BBMG,金隅集团,2026-06-22,2026-06-18,158.69,15472201,5981050,0.6,-1.64,25787000,9805000,6406662934
2477.HK,WELLCELL HOLD,经纬天地,2026-06-22,2026-06-18,142.8,343029765,141281566,0.4,5.26,857574400,371793600,1600000023
6869.HK,YOFC,长飞光纤光缆,2026-06-22,2026-06-18,141.35,13815617530,5724302662,286.0,31.31,48306355,26282381,407166420804
6600.HK,ONEROBOTICS,卧安机器人,2026-06-22,2026-06-18,132.15,85163938,36684478,62.1,7.07,1371400,632491,13994613466
1675.HK,ASIAINFO TECH,亚信科技,2026-06-22,2026-06-18,129.65,156295553,68059501,4.96,5.31,31511200,14450000,4662208282
2858.HK,YIXIN,易鑫集团,2026-06-22,2026-06-18,125.96,93675892,41456750,1.19,-14.39,78719233,29825000,8076743042
1044.HK,HENGAN INT'L,恒安国际,2026-06-22,2026-06-18,124.48,279943114,124705514,22.82,-1.72,12267446,5370608,26257054874
9636.HK,JF SMARTINVEST,九方智投控股,2026-06-22,2026-06-18,122.94,296081186,132808682,28.36,13.08,10440098,5295402,13161442375
2171.HK,CARSGEN-B,科济药业－Ｂ,2026-06-22,2026-06-18,122.76,166231973,74623579,16.82,6.79,9882995,4738005,9596398492
0866.HK,CHINA QINFA,中国秦发,2026-06-22,2026-06-18,120.97,27100199,12264080,1.55,-6.63,17484000,7388000,4072491551
1788.HK,GUOTAI JUNAN I,国泰君安国际,2026-06-22,2026-06-18,120.43,251364412,114032231,2.14,5.94,117460000,56451600,20394082672
2877.HK,SHINEWAY PHARM,神威药业,2026-06-22,2026-06-18,118.97,20890480,9540240,7.58,-0.52,2756000,1252000,5725931942
2465.HK,LOPAL TECH,龙蟠科技,2026-06-22,2026-06-18,116.59,350494643,161826762,13.53,9.64,25905000,13114000,10500793880
1513.HK,LIVZON PHARMA,丽珠医药,2026-06-22,2026-06-18,115.09,32642619,15176531,23.9,-2.05,1365800,621989,21220981048
1405.HK,DPC DASH,达势股份,2026-06-22,2026-06-18,114.72,33640110,15666757,30.6,-7.1,1099350,475615,4025801993
2005.HK,SSY GROUP,石四药集团,2026-06-22,2026-06-18,113.72,28105755,13150621,2.02,-5.16,13913740,6174000,5840715582
6030.HK,CITIC SEC,中信证券,2026-06-22,2026-06-18,112.72,1371157591,644589950,28.36,6.14,48348292,24123876,420310717116
1511.HK,UISEE TECH,驭势科技,2026-06-22,2026-06-18,111.32,40603724,19214400,101.7,5.94,399250,200150,16524726038
0909.HK,MING YUAN CLOUD,明源云,2026-06-22,2026-06-18,109.72,21187521,10102590,1.46,-4.58,14512000,6603000,2711186520
6666.HK,EVERG SERVICES,恒大物业,2026-06-22,2026-06-18,108.36,55192651,26488895,1.03,-8.85,53585100,23441500,11135135020
1364.HK,GUMING,古茗,2026-06-22,2026-06-18,108.35,145786260,69970981,20.44,-4.13,7132400,3281941,48610120248
2889.HK,PATEO,博泰车联,2026-06-22,2026-06-18,106.92,180028037,87005685,165.9,-11.24,1085160,465520,24883547293
0968.HK,XINYI SOLAR,信义光能,2026-06-22,2026-06-18,104.85,251421559,122735821,2.26,-3.83,111248478,52228011,20672318482
1336.HK,NCI,新华保险,2026-06-22,2026-06-18,104.72,1158892413,566085605,53.15,6.73,21804184,11367181,165803906550
6166.HK,CIG,剑桥科技,2026-06-22,2026-06-18,104.47,3073772074,1503279770,157.9,13.68,19466575,10822749,58146731649
9980.HK,EASTROC,东鹏饮料,2026-06-22,2026-06-18,102.34,113763911,56224190,108.9,-5.3,1044664,488906,79954305979
0966.HK,CHINA TAIPING,中国太平,2026-06-22,2026-06-18,97.66,463075333,234276814,20.78,6.62,22284664,12020360,74683707687
6886.HK,HTSC,HTSC,2026-06-22,2026-06-18,97.1,473691334,240331667,17.73,4.66,26716940,14187229,160046290793
1050.HK,KARRIE INT'L,嘉利国际,2026-06-22,2026-06-18,96.85,27667601,14055300,2.63,-9.62,10520000,4830000,5489586614
1989.HK,DELTON,广合科技,2026-06-22,2026-06-18,95.69,328773335,168009666,186.2,1.14,1765700,912600,87991557614
3877.HK,CSSC SHIPPING,中国船舶租赁,2026-06-22,2026-06-18,95.12,70472459,36117102,2.29,-2.55,30774000,15368980,14196222723
1417.HK,RIVERINE CHINA,浦江中国,2026-06-22,2026-06-18,94.42,17393760,8946560,2.57,14.73,6768000,3994000,1040849972
3759.HK,PHARMARON,康龙化成,2026-06-22,2026-06-18,94.4,100816988,51861770,15.25,0.2,6610950,3407475,28018575327
1787.HK,SD GOLD,山东黄金,2026-06-22,2026-06-18,92.07,653258240,340121586,20.58,-4.1,31742383,15849096,94872349272
0179.HK,JOHNSON ELEC H,德昌电机控股,2026-06-22,2026-06-18,91.52,355683862,185715206,23.96,5.46,14844903,8174085,22204283046
2579.HK,CNGR,中伟新材,2026-06-22,2026-06-18,90.92,63001259,32998728,29.4,1.94,2142900,1144200,30642263027
2698.HK,SOFTCARE,乐舒适,2026-06-22,2026-06-18,-89.17,19531871,180298591,26.84,-2.61,727715,6542039,16661582306
2155.HK,MORIMATSU INTL,森松国际,2026-06-22,2026-06-18,88.08,112118398,59612918,8.16,-4.78,13740000,6956000,10162618849
6055.HK,CTIHK,中烟香港,2026-06-22,2026-06-18,86.72,75825810,40608699,20.5,-1.91,3698820,1943000,14179440000
0917.HK,QUNABOX GROUP,趣致集团,2026-06-22,2026-06-18,-83.74,71955843,442600595,9.6,-2.64,7495400,44888500,2543027102
9959.HK,LINKLOGIS-W,联易融科技－Ｗ,2026-06-22,2026-06-18,83.15,17776200,9705920,1.72,-12.24,10335000,4952000,3466331448
0667.HK,CHINA EAST EDU,中国东方教育,2026-06-22,2026-06-18,82.19,44347150,24340632,3.98,-2.21,11142500,5980499,8810441932
1349.HK,FUDANZHANGJIANG,复旦张江,2026-06-22,2026-06-18,-80.85,19429869,101483757,2.33,0.43,8339000,43743000,2430189920
6963.HK,SUNSHINE INS,阳光保险,2026-06-22,2026-06-18,79.78,155062110,86250001,3.39,-1.74,45741034,25000000,38990162481
1108.HK,TRIUMPH NEW EN,凯盛新能,2026-06-22,2026-06-18,-79.44,32593559,158507144,2.82,-3.75,11558000,54098000,1820803352
0580.HK,SUN.KING TECH,赛晶科技,2026-06-22,2026-06-18,78.73,65023460,36380119,3.03,5.57,21459888,12676000,4834401314
1729.HK,TIME INTERCON,汇聚科技,2026-06-22,2026-06-18,78.12,702475226,394380095,20.7,8.66,33936000,20702368,46197483465
0826.HK,TIANGONG INT'L,天工国际,2026-06-22,2026-06-18,78.0,265255424,149017864,3.88,-4.9,68364798,36523987,10573000311
6865.HK,FLAT GLASS,福莱特玻璃,2026-06-22,2026-06-18,77.37,63667097,35896000,6.77,-3.29,9404298,5128000,15711537749
9993.HK,RADIANCE HLDGS,金辉控股,2026-06-22,2026-06-18,-76.65,64007849,274171808,1.15,-2.54,55659000,232349000,4652010953
2580.HK,AUX ELECTRIC,奥克斯电气,2026-06-22,2026-06-18,74.41,21661566,12419880,9.37,-3.4,2311800,1280400,14881763642
0648.HK,SOFTMEDX-NEW,京玖康疗（新）,2026-06-22,2026-06-18,73.49,63652817,36689636,5.59,19.7,11386908,7856453,598783671
6031.HK,SANY HEAVY IND,三一重工,2026-06-22,2026-06-18,-72.43,254327131,922514911,20.04,-2.34,12690974,44956866,184267897335
6887.HK,SUNSHINE PHARMA,东阳光药,2026-06-22,2026-06-18,72.4,27547950,15979343,32.44,-5.31,849197,466414,18684740029
2883.HK,CHINA OILFIELD,中海油田服务,2026-06-22,2026-06-18,72.13,115332068,67001671,6.77,-1.88,17035756,9710387,32303677748
0546.HK,FUFENG GROUP,阜丰集团,2026-06-22,2026-06-18,-71.93,33898923,120751650,4.67,2.86,7258870,26597280,11708969944
2676.HK,NOVOSENSE,纳芯微,2026-06-22,2026-06-18,71.77,482258393,280750400,213.2,8.78,2262000,1432400,34671315419
3881.HK,CIDI,希迪智驾,2026-06-22,2026-06-18,-70.97,113239783,390034322,22.22,-6.8,5096300,16360500,9729984381
6675.HK,SENASIC,SENASIC,2026-06-22,2026-06-18,-70.6,42293123,143836639,31.54,-5.57,1340936,4306486,
0016.HK,SHK PPT,新鸿基地产,2026-06-22,2026-06-18,-69.96,698200586,2324622378,113.6,0.8,6146132,20626641,329187834704
9887.HK,LEADS BIOLABS-B,维立志博－Ｂ,2026-06-22,2026-06-18,69.61,50842229,29975400,52.55,-2.69,967502,555100,10451763938
0083.HK,SINO LAND,信和置业,2026-06-22,2026-06-18,-69.01,115329444,372124848,10.61,-3.11,10869882,33984005,101708955339
6881.HK,CGS,中国银河,2026-06-22,2026-06-18,68.91,264066907,156337127,7.98,5.28,33091091,20624951,87256530211
0371.HK,BJ ENT WATER,北控水务集团,2026-06-22,2026-06-18,-68.74,20704719,66230440,2.34,-0.85,8848171,28063747,23465777421
2259.HK,ZIJIN GOLD INTL,紫金黄金国际,2026-06-22,2026-06-18,-68.44,1013697651,3211912128,106.9,-2.46,9482672,29305768,286100675253
2687.HK,ABLE DIGITAL,卓越睿新,2026-06-22,2026-06-18,68.29,31077271,18466841,142.1,8.81,218700,141400,9473338476
1368.HK,XTEP INT'L,特步国际,2026-06-22,2026-06-18,-68.21,32959346,103686348,3.91,-2.74,8429500,25792624,10650955015
1361.HK,361 DEGREES,３６１度,2026-06-22,2026-06-18,-67.98,15834421,49454142,4.26,-1.62,3717000,11421280,9234325816
1375.HK,CC SECURITIES,中州证券,2026-06-22,2026-06-18,67.64,56462001,33680500,1.85,5.71,30520000,19246000,8589336805
2186.HK,LUYE PHARMA,绿叶制药,2026-06-22,2026-06-18,-66.57,53242559,159257342,1.92,-3.03,27730500,80433000,7669470458
1196.HK,REALORD GROUP,伟禄集团,2026-06-22,2026-06-18,-66.21,23517322,69595500,10.72,-0.28,2193780,6474000,15461562298
6078.HK,HYGEIA HEALTH,海吉亚医疗,2026-06-22,2026-06-18,-65.77,40196353,117426122,8.79,0.11,4572964,13374274,5346566700
9985.HK,WL DELICIOUS,卫龙美味,2026-06-22,2026-06-18,-65.51,28691519,83188380,7.41,2.49,3872000,11506000,18014788362
2128.HK,CHINA LESSO,中国联塑,2026-06-22,2026-06-18,-65.49,36636250,106148000,3.95,-1.25,9275000,26537000,12170990576
1651.HK,TSUGAMI CHINA,津上机床中国,2026-06-22,2026-06-18,65.36,61436763,37152960,64.05,-1.46,959200,571584,23609727824
2655.HK,GUOXIA TECH,果下科技,2026-06-22,2026-06-18,-65.11,66074759,189403678,18.69,2.35,3535300,10372600,9676029613
