Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
0585.HK,IMAGI INT'L,意力国际,2026-06-18,2026-06-17,+24089.84%,348823072,1442023,4.1,+5.40%,85078800,370700,3402678366
1134.HK,KELFRED,恒发光学,2026-06-18,2026-06-17,+8085.69%,19699680,240660,0.385,+22.22%,51168000,764000,192499995
1349.HK,FUDANZHANGJIANG,复旦张江,2026-06-18,2026-06-17,+2563.36%,101483757,3810360,2.32,+2.65%,43743000,1686000,2419759930
1053.HK,CHONGQING IRON,重庆钢铁股份,2026-06-18,2026-06-17,+1547.30%,74485479,4521660,1.01,+8.60%,73748000,4862000,8940281320
0917.HK,QUNABOX GROUP,趣致集团,2026-06-18,2026-06-17,+1545.32%,442600595,26900639,9.86,+5.34%,44888500,2874000,2611900558
6031.HK,SANY HEAVY IND,三一重工,2026-06-18,2026-06-17,+946.96%,922514911,88113837,20.52,-3.66%,44956866,4136800,188681495256
0347.HK,ANGANG STEEL,鞍钢股份,2026-06-18,2026-06-17,+799.96%,17471296,1941337,1.18,-4.07%,14806184,1578323,11055680593
3887.HK,HASHKEY HLDGS,HASHKEY HLDGS,2026-06-18,2026-06-17,+794.28%,39724565,4442048,2.11,-24.91%,18826809,1580800,5836404038
1675.HK,ASIAINFO TECH,亚信科技,2026-06-18,2026-06-17,+746.25%,68059501,8042496,4.71,+5.13%,14450000,1795200,4427217947
0546.HK,FUFENG GROUP,阜丰集团,2026-06-18,2026-06-17,+712.79%,120751650,14856480,4.54,-16.39%,26597280,2736000,11383350912
2661.HK,QINGSONG HEALTH,轻松健康,2026-06-18,2026-06-17,+711.25%,701773363,86505269,13.86,+11.41%,50633000,6953800,2860346465
2685.HK,QUANTGROUP,量化派,2026-06-18,2026-06-17,+644.88%,739607984,99292223,13.56,+21.18%,54543360,8873300,6984722316
