Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
6862.HK,HAIDILAO,海底捞,2026-09-09,2026-09-08,2088.03,3710578043,169585433,10.34,-9.14,358856672,14902059,55996046861
0328.HK,ALCO HOLDINGS,ALCO HOLDINGS,2026-09-09,2026-09-08,1078.46,18615679,1579662,0.59,-6.35,31552000,2507400,168971360
2218.HK,ANDRE JUICE,安德利果汁,2026-09-09,2026-09-08,692.86,179147757,22595200,26.4,14.78,6785900,982400,8656243074
0636.HK,KLN,KLN,2026-09-09,2026-09-08,648.18,24607619,3288998,6.075,5.29,4050637,570017,10980132907
2648.HK,ANJOY FOOD,安井食品,2026-09-09,2026-09-08,602.9,75372750,10723050,60.25,-5.04,1251000,169000,20080658153
2356.HK,DAHSING BANKING,大新银行集团,2026-09-09,2026-09-08,591.82,76134217,11004890,14.66,-1.28,5193330,741070,20608326040
3355.HK,FS.COM,飞速创新,2026-09-09,2026-09-08,521.53,131800553,21205769,41.96,-0.33,3141100,503700,17020431640
1579.HK,YIHAI INTL,颐海国际,2026-09-09,2026-09-08,334.6,103983395,23925960,14.21,-3.73,7317621,1621000,13785575757
0570.HK,TRAD CHI MED,中国中药,2026-09-09,2026-09-08,324.9,17391559,4093110,1.31,-1.87,13276000,3066000,6596899021
0288.HK,WH GROUP,万洲国际,2026-09-09,2026-09-08,316.6,751508081,180392347,7.1,-4.38,105846210,24295265,91094557581
2381.HK,SMC ELECTRIC,蚬壳电业,2026-09-09,2026-09-08,316.23,16625550,3994300,0.395,33.9,42090000,13540000,790000021
2423.HK,BEKE-W,贝壳－Ｗ,2026-09-09,2026-09-08,288.59,822740063,211724551,44.96,-1.88,18299379,4620789,148703505981
0894.HK,MAN YUE TECH,万裕科技,2026-09-09,2026-09-08,275.67,20674860,5503420,2.01,15.85,10286000,3172000,963438160
1440.HK,STAR SHINE HLDG,应星控股,2026-09-09,2026-09-08,274.05,102409500,27378249,11.34,16.91,9030820,2822500,14285791992
