Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
0585.HK,IMAGI INT'L,意力国际,2026-06-18,2026-06-17,+24091.89%,348852592,1442023,4.1,+5.40%,85086000,370700,3402678366
1134.HK,KELFRED,恒发光学,2026-06-18,2026-06-17,+8086.33%,19701220,240660,0.385,+22.22%,51172000,764000,192499995
1349.HK,FUDANZHANGJIANG,复旦张江,2026-06-18,2026-06-17,+2563.97%,101506957,3810360,2.32,+2.65%,43753000,1686000,2419759930
1053.HK,CHONGQING IRON,重庆钢铁股份,2026-06-18,2026-06-17,+1547.53%,74495579,4521660,1.01,+8.60%,73758000,4862000,8940281320
0917.HK,QUNABOX GROUP,趣致集团,2026-06-18,2026-06-17,+1545.76%,442718915,26900639,9.86,+5.34%,44900500,2874000,2611900558
6031.HK,SANY HEAVY IND,三一重工,2026-06-18,2026-06-17,+947.04%,922584679,88113837,20.52,-3.66%,44960266,4136800,188681495256
0347.HK,ANGANG STEEL,鞍钢股份,2026-06-18,2026-06-17,+801.66%,17504336,1941337,1.18,-4.07%,14834184,1578323,11055680593
3887.HK,HASHKEY HLDGS,HASHKEY HLDGS,2026-06-18,2026-06-17,+794.44%,39731317,4442048,2.11,-24.91%,18830009,1580800,5836404038
1675.HK,ASIAINFO TECH,亚信科技,2026-06-18,2026-06-17,+746.39%,68070805,8042496,4.71,+5.13%,14452400,1795200,4427217947
0546.HK,FUFENG GROUP,阜丰集团,2026-06-18,2026-06-17,+712.82%,120756190,14856480,4.54,-16.39%,26598280,2736000,11383350912
2661.HK,QINGSONG HEALTH,轻松健康,2026-06-18,2026-06-17,+711.26%,701778907,86505269,13.86,+11.41%,50633400,6953800,2860346465
2685.HK,QUANTGROUP,量化派,2026-06-18,2026-06-17,+644.89%,739614764,99292223,13.56,+21.18%,54543860,8873300,6984722316
1196.HK,REALORD GROUP,伟禄集团,2026-06-18,2026-06-17,+615.79%,70412500,9837100,10.75,-0.56%,6550000,910000,15504831210
0358.HK,JIANGXI COPPER,江西铜业股份,2026-06-18,2026-06-17,+549.69%,2506836633,385850790,41.06,+9.26%,61053009,10267450,142179674124
9690.HK,TUHU-W,途虎－Ｗ,2026-06-18,2026-06-17,+538.07%,26891085,4214462,12.26,-6.13%,2193400,322700,10147488036
1798.HK,DATANG RENEW,大唐新能源,2026-06-18,2026-06-17,+531.21%,25414200,4026240,1.4,-2.78%,18153000,2796000,10183181226
1882.HK,HAITIAN INT'L,海天国际,2026-06-18,2026-06-17,+528.35%,108638333,17289340,19.7,-4.28%,5514636,840104,31441201217
2698.HK,SOFTCARE,乐舒适,2026-06-18,2026-06-17,+517.13%,180370247,29227119,27.56,-1.08%,6544639,1049071,17108539376
2432.HK,DOBOT,越疆,2026-06-18,2026-06-17,+505.16%,197057137,32562718,28.76,+4.35%,6851778,1181521,12653117404
9606.HK,DUALITYBIO-B,映恩生物－Ｂ,2026-06-18,2026-06-17,+492.05%,432982047,73133159,185.1,+3.35%,2339179,408337,16733265263
9903.HK,ILUVATAR COREX,天数智芯,2026-06-18,2026-06-17,+487.80%,2184386400,371618520,630.0,+21.15%,3467280,714651,160220173680
0659.HK,CTF SERVICES,周大福创建,2026-06-18,2026-06-17,+443.57%,44225592,8136207,8.0,-1.72%,5528199,999534,36521258400
0345.HK,VITASOY INT'L,VITASOY INT'L,2026-06-18,2026-06-17,+428.25%,42305201,8008594,5.8,-0.34%,7294000,1376047,5903420510
0548.HK,SHENZHENEXPRESS,深圳高速公路股份,2026-06-18,2026-06-17,+390.46%,21716588,4427800,6.45,-1.53%,3366913,676000,16369171535
2099.HK,CHINAGOLDINTL,中国黄金国际,2026-06-18,2026-06-17,+367.70%,580910884,124205380,146.9,-7.03%,3954465,786110,58233177896
0016.HK,SHK PPT,新鸿基地产,2026-06-18,2026-06-17,+365.06%,2325411278,500029131,112.7,-1.66%,20633641,4363256,326579828036
0087.HK,SWIRE PACIFIC B,太古股份公司Ｂ,2026-06-18,2026-06-17,+361.46%,29822111,6462583,12.66,-4.16%,2355617,489219,45929472976
2652.HK,CF PHARMTECH,长风药业,2026-06-18,2026-06-17,+360.03%,19296451,4194645,18.78,-1.73%,1027500,219500,6895897919
0083.HK,SINO LAND,信和置业,2026-06-18,2026-06-17,+356.11%,372190548,81600387,10.95,+0.83%,33990005,7513848,104968244826
3696.HK,INSILICO,英矽智能,2026-06-18,2026-06-17,+351.72%,351296769,77769344,38.34,+13.84%,9162670,2309066,21945892767
0023.HK,BANK OF E ASIA,东亚银行,2026-06-18,2026-06-17,+348.86%,63161237,14071494,12.74,-3.70%,4957711,1063605,33682316632
0066.HK,MTR CORPORATION,港铁公司,2026-06-18,2026-06-17,+347.74%,518547348,115813335,31.52,+0.32%,16451375,3685975,195870959974
2076.HK,BOSS ZHIPIN-W,ＢＯＳＳ直聘－Ｗ,2026-06-18,2026-06-17,+346.15%,20024755,4488381,52.55,+3.55%,381061,88441,47224422404
1766.HK,CRRC,中国中车,2026-06-18,2026-06-17,+340.36%,285713646,64882391,5.23,-2.24%,54629760,12127550,150095059727
1910.HK,SAMSONITE,新秀丽,2026-06-18,2026-06-17,+338.44%,164171780,37444270,13.83,-1.64%,11870700,2663177,18861291398
2157.HK,LEPU BIO,乐普生物,2026-06-18,2026-06-17,+328.77%,36092129,8417500,3.81,+2.97%,9473000,2275000,6874915679
2259.HK,ZIJIN GOLD INTL,紫金黄金国际,2026-06-18,2026-06-17,+319.42%,3211923088,765809144,109.6,-7.12%,29305868,6489908,293326783196
1585.HK,YADEA,雅迪控股,2026-06-18,2026-06-17,+311.35%,177499691,43150788,10.59,-1.21%,16761066,4025260,32152796716
2676.HK,NOVOSENSE,纳芯微,2026-06-18,2026-06-17,+303.74%,280770000,69542016,196.0,+4.09%,1432500,369315,31874192868
0467.HK,UNITEDENERGY GP,联合能源集团,2026-06-18,2026-06-17,+303.14%,40811239,10123297,0.38,-3.80%,107398000,25628600,9768685694
3900.HK,GREENTOWN CHINA,绿城中国,2026-06-18,2026-06-17,+297.75%,260563266,65509423,7.22,-6.72%,36089096,8463750,18335902008
3738.HK,VOBILE GROUP,阜博集团,2026-06-18,2026-06-17,+296.06%,90673761,22893970,2.48,-1.98%,36562000,9049000,6303980179
0209.HK,POLY XVERSE IT,万维智能科技,2026-06-18,2026-06-17,+288.52%,69404397,17864000,0.52,-5.45%,133470000,32480000,772549311
1368.HK,XTEP INT'L,特步国际,2026-06-18,2026-06-17,+287.96%,103698408,26729411,4.02,-2.19%,25795624,6503506,10950597959
1828.HK,FWD,富卫集团,2026-06-18,2026-06-17,+286.03%,55122402,14279280,31.0,+0.65%,1778142,463613,39556163587
0788.HK,CHINA TOWER,中国铁塔,2026-06-18,2026-06-17,+283.66%,531430539,138516207,9.31,-1.48%,57081688,14657800,162749975630
