Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
3813.HK,POU SHENG INT'L,宝胜国际,2026-08-13,2026-08-12,52474.42,39535965,75200,0.345,7.81,114597000,235000,1787893443
1126.HK,DREAM INT'L,德林国际,2026-08-13,2026-08-12,6087.27,22602090,365300,6.02,-14.31,3754500,52000,4074727287
2511.HK,HIGHTIDE-B,君圣泰医药－Ｂ,2026-08-13,2026-08-12,2088.79,36827736,1682560,3.485,-0.99,10567500,478000,1772871387
1515.HK,CR MEDICAL,华润医疗,2026-08-13,2026-08-12,1423.58,15862911,1041163,2.66,4.11,5963500,407500,3363475146
1316.HK,NEXTEER,耐世特,2026-08-13,2026-08-12,1002.02,354041195,32126430,4.915,9.71,72032797,7171078,12335786304
2699.HK,XINMING CHINA,新明中国,2026-08-13,2026-08-12,934.88,56690991,5478027,5.855,-3.94,9682492,898774,31631210
0325.HK,BLOKS,布鲁可,2026-08-13,2026-08-12,900.57,443043905,44279309,71.0,19.73,6240055,746700,17490824795
2232.HK,CRYSTAL INTL,晶苑国际,2026-08-13,2026-08-12,778.61,98635642,11226334,7.085,6.7,13921756,1690713,20212243978
3396.HK,LEGENDHOLDING,联想控股,2026-08-13,2026-08-12,602.83,847733998,120617807,20.1,16.12,42175820,6968100,47360241988
9611.HK,LONGCHEER,龙旗科技,2026-08-13,2026-08-12,530.93,54862419,8695432,25.78,11.51,2128100,376100,13472387161
1780.HK,RONGZUN INT'L H,荣尊国际控股,2026-08-13,2026-08-12,504.04,30069876,4978125,5.755,2.31,5225000,885000,3568100070
0991.HK,DATANG POWER,大唐发电,2026-08-13,2026-08-12,474.17,202684234,35300343,2.48,1.85,81727513,14497061,45896642402
0839.HK,CHINA EDU GROUP,中教控股,2026-08-13,2026-08-12,464.83,25437466,4503600,1.77,-1.67,14371450,2502000,4956553717
1318.HK,MAO GEPING,毛戈平,2026-08-13,2026-08-12,404.92,320864283,63547240,49.92,-8.66,6427570,1162804,24470129150
0992.HK,LENOVO GROUP,联想集团,2026-08-13,2026-08-12,363.52,12495344952,2695723027,34.9,20.18,358032791,92827925,432922628567
0800.HK,WERIDE-W,文远知行－Ｗ,2026-08-13,2026-08-12,354.21,40882411,9000833,15.3,-8.38,2672053,538972,15099086172
1910.HK,SAMSONITE,新秀丽,2026-08-13,2026-08-12,339.93,133765239,30406040,13.94,2.73,9595785,2240681,19011308432
3296.HK,HUAQIN,华勤技术,2026-08-13,2026-08-12,324.51,395300375,93118752,77.5,10.4,5100650,1326478,117512307677
8279.HK,AGTECH HOLDINGS,亚博科技控股,2026-08-13,2026-08-12,307.27,69955602,17176876,1.1,13.4,63596000,17708119,12663216393
2565.HK,PEGBIO CO-B,派格生物医药－Ｂ,2026-08-13,2026-08-12,276.63,285427187,75784411,6.455,4.45,44218000,12262850,2524495809
6821.HK,ASYMCHEM,凯莱英,2026-08-13,2026-08-12,249.18,221631443,63472288,119.8,-5.07,1850012,502950,43221561307
6185.HK,CANSINOBIO,康希诺生物,2026-08-13,2026-08-12,243.2,43924578,12798540,25.44,3.16,1726595,519000,6284794429
1392.HK,HQVT,海清智元,2026-08-13,2026-08-12,223.37,15498141,4792750,21.7,7.53,714200,237500,16408324074
0667.HK,CHINA EAST EDU,中国东方教育,2026-08-13,2026-08-12,212.3,28349130,9077580,4.105,-2.96,6906000,2146000,9087151791
1877.HK,JUNSHI BIO,君实生物,2026-08-13,2026-08-12,208.77,107133644,34697339,20.22,3.43,5298400,1774800,20743171575
2643.HK,CAOCAO INC,曹操出行,2026-08-13,2026-08-12,208.11,41297759,13403616,14.4,-5.76,2867900,877200,8370156867
3277.HK,GPIXEL,长光辰芯,2026-08-13,2026-08-12,194.84,49409150,16757671,75.25,3.01,656600,229400,33492894575
2590.HK,GEEKPLUS-W,极智嘉－Ｗ,2026-08-13,2026-08-12,190.49,156651767,53926782,10.45,6.09,14990600,5474800,13782368877
6666.HK,EVERG SERVICES,恒大物业,2026-08-13,2026-08-12,179.32,18173951,6506510,1.07,3.88,16985000,6317000,11567568337
2099.HK,CHINAGOLDINTL,中国黄金国际,2026-08-13,2026-08-12,178.52,923978375,331741665,187.2,-7.69,4935782,1635807,74208653351
1768.HK,BUSYMING,鸣鸣很忙,2026-08-13,2026-08-12,174.94,215199160,78270192,395.0,4.5,544808,207064,86045931000
6951.HK,CCTC,三环集团,2026-08-13,2026-08-12,172.19,548891749,201660120,130.8,9.0,4196420,1680501,261170795180
9981.HK,WOER,沃尔核材,2026-08-13,2026-08-12,169.68,22520489,8350720,10.65,-4.91,2114600,745600,14908799871
6078.HK,HYGEIA HEALTH,海吉亚医疗,2026-08-13,2026-08-12,169.11,24658919,9163188,9.9,1.9,2490800,943200,5995956548
2609.HK,BAYZED HEALTH,佰泽医疗,2026-08-13,2026-08-12,169.01,35046336,13027872,3.04,4.11,11528400,4461600,4008139091
2661.HK,QINGSONG HEALTH,轻松健康,2026-08-13,2026-08-12,167.73,87023434,32504556,5.725,0.7,15200600,5717600,1156413672
1258.HK,CHINFMINING,中国有色矿业,2026-08-13,2026-08-12,165.1,283971579,107119197,14.18,-6.34,20026204,7075244,55330871670
0666.HK,REPT BATTERO,瑞浦兰钧,2026-08-13,2026-08-12,159.54,21160066,8152805,10.88,-2.86,1944859,727929,25425189931
1038.HK,CKI HOLDINGS,长江基建集团,2026-08-13,2026-08-12,142.04,150307423,62101172,63.15,3.52,2380165,1018052,159113435021
