Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
6182.HK,TWINTEK,乙德投资控股,2026-09-03,2026-09-02,7307.6,343558787,4637920,0.65,28.71,528552000,9184000,519999980
2863.HK,GOLDEN FAITH GP,高丰集团控股,2026-09-03,2026-09-02,5458.54,85272417,1534080,0.71,4.41,120102000,2256000,489552795
2575.HK,XUANZHUBIO-B,轩竹生物－Ｂ,2026-09-03,2026-09-02,3588.07,138571879,3757297,11.12,18.23,12461500,399500,5759579365
2439.HK,CH TREASURES NM,中宝新材,2026-09-03,2026-09-02,2186.49,40152449,1756070,0.325,-2.99,123546000,5242000,324999988
0013.HK,HUTCHMED,和黄医药,2026-09-03,2026-09-02,1501.66,787242370,49151518,21.88,14.32,35980000,2568000,19015269227
2255.HK,HAICHANG HLDG,海昌海洋公园,2026-09-03,2026-09-02,1160.68,189340659,15018928,0.245,15.57,772819000,70844000,3237430553
2156.HK,C&D PROPERTY,建发物业,2026-09-03,2026-09-02,1142.32,15205390,1223955,2.63,-0.94,5781517,461000,3703734523
1449.HK,LEADER EDU,立德教育,2026-09-03,2026-09-02,642.0,23216475,3128895,1.275,-14.14,18209000,2107000,850000409
2198.HK,CHINA SANJIANG,中国三江化工,2026-09-03,2026-09-02,614.13,27787679,3891105,4.14,6.29,6712000,999000,4762544066
0068.HK,MANYCORE TECH,MANYCORE TECH,2026-09-03,2026-09-02,485.49,53736015,9177907,9.54,13.57,5632706,1092608,16467941637
3833.HK,XINXIN MINING,新疆新鑫矿业,2026-09-03,2026-09-02,484.19,16620975,2845150,2.135,10.91,7785000,1478000,4718349978
1879.HK,XIZHI TECH-P,曦智科技－Ｐ,2026-09-03,2026-09-02,342.21,127771053,28893439,372.2,11.7,343286,86715,35000712867
2589.HK,AUNTEA JENNY,沪上阿姨,2026-09-03,2026-09-02,336.46,23734044,5437800,81.85,2.96,289970,68400,8610867026
0308.HK,CHINA TRAVEL HK,香港中旅,2026-09-03,2026-09-02,335.65,33783398,7754670,1.18,2.16,28630000,6714000,6533227486
2410.HK,TYK MEDICINES-B,同源康医药－Ｂ,2026-09-03,2026-09-02,324.35,43207060,10181960,6.065,8.89,7124000,1828000,2305099207
3268.HK,MEIG,美格智能,2026-09-03,2026-09-02,315.52,45181773,10873480,19.17,-9.58,2356900,512900,5790704927
0336.HK,HUABAO INTL,华宝国际,2026-09-03,2026-09-02,275.01,29397060,7839000,3.03,1.0,9702000,2613000,9761571762
0696.HK,TRAVELSKY TECH,中国民航信息网络,2026-09-03,2026-09-02,235.18,39690027,11841315,8.725,1.57,4549000,1378500,25531179780
1177.HK,SBP GROUP,中国生物制药,2026-09-03,2026-09-02,231.24,714098499,215586306,5.59,6.27,127745703,40985988,99607947400
9699.HK,SF INTRA-CITY,顺丰同城,2026-09-03,2026-09-02,218.04,43939587,13815634,8.62,3.05,5097400,1651600,7872072725
2343.HK,PACIFIC BASIN,太平洋航运,2026-09-03,2026-09-02,201.91,117482477,38913710,4.29,5.02,27385193,9526000,22107694568
0232.HK,CON AERO TECH,大陆航空科技控股,2026-09-03,2026-09-02,197.19,32177590,10827451,0.475,1.06,67742295,23037130,4419102966
3310.HK,VIEWTRIX TECH,云英谷科技,2026-09-03,2026-09-02,194.03,19192708,6527392,28.42,3.8,675324,238400,12382814288
1415.HK,COWELL,高伟电子,2026-09-03,2026-09-02,182.32,94375960,33428553,24.5,-0.65,3852080,1355578,21034935600
3388.HK,CREALITY,创想三维,2026-09-03,2026-09-02,180.42,47103000,16797597,25.0,4.43,1884120,701654,11946353775
6088.HK,FIT HON TENG,FIT HON TENG,2026-09-03,2026-09-02,173.02,146985576,53837217,5.35,3.48,27473940,10413388,38043171728
2669.HK,CHINA OVS PPT,中海物业,2026-09-03,2026-09-02,169.68,33962850,12593840,3.55,3.2,9567000,3661000,11658059476
1336.HK,NCI,新华保险,2026-09-03,2026-09-02,155.44,894509704,350183134,49.16,3.54,18195885,7375382,153356910379
2706.HK,HAIZHI TECH GP,海致科技集团,2026-09-03,2026-09-02,147.63,246492993,99542211,56.6,2.35,4355000,1800040,22878948905
0168.HK,TSINGTAO BREW,青岛啤酒股份,2026-09-03,2026-09-02,136.3,275914409,116762245,39.58,-1.2,6971056,2914684,53994845387
9926.HK,AKESO,康方生物,2026-09-03,2026-09-02,134.03,1571487003,671490472,90.8,3.42,17307125,7647955,83639803191
2465.HK,LOPAL TECH,龙蟠科技,2026-09-03,2026-09-02,123.86,57084499,25499940,9.7,2.97,5885000,2707000,7673785337
2727.HK,SH ELECTRIC,上海电气,2026-09-03,2026-09-02,123.22,54520978,24424481,2.995,2.22,18204000,8336000,46542662521
1138.HK,COSCO SHIP ENGY,中远海能,2026-09-03,2026-09-02,122.96,461403906,206942024,17.55,6.49,26290822,12557162,95914621554
3680.HK,RUIHE DATA,瑞和数智,2026-09-03,2026-09-02,121.21,19087943,8628900,2.67,8.98,7149042,3522000,2422445511
3311.HK,CHINA STATE CON,中国建筑国际,2026-09-03,2026-09-02,119.28,152430570,69515406,8.63,3.35,17662870,8325198,45585530449
1038.HK,CKI HOLDINGS,长江基建集团,2026-09-03,2026-09-02,118.75,111001085,50743133,65.0,0.31,1707709,783073,163774711425
1956.HK,WENGE AI,中科闻歌,2026-09-03,2026-09-02,116.13,25051476,11591166,80.75,8.97,310235,156426,14085723715
3698.HK,HUISHANG BANK,徽商银行,2026-09-03,2026-09-02,115.04,57524031,26750160,4.765,-0.1,12072200,5608000,66184900915
1093.HK,CSPC PHARMA,石药集团,2026-09-03,2026-09-02,114.88,1296622102,603430553,9.61,4.8,134924261,65804858,109606387228
2450.HK,HUAIBEI GD CO,淮北绿金股份,2026-09-03,2026-09-02,114.42,15399449,7182000,9.15,-23.75,1683000,598500,2415599899
3788.HK,HANKING GOLD,罕王黄金,2026-09-03,2026-09-02,111.18,25512399,12080880,3.44,4.56,7416395,3672000,8409588341
3958.HK,DFZQ,东方证券,2026-09-03,2026-09-02,109.82,76296402,36362466,5.915,2.07,12898800,6274800,50257656578
0788.HK,CHINA TOWER,中国铁塔,2026-09-03,2026-09-02,108.42,331535928,159074308,9.165,0.16,36174133,17385171,160215193685
6666.HK,EVERG SERVICES,恒大物业,2026-09-03,2026-09-02,108.16,15775810,7578755,1.145,0.0,13778000,6619000,12378378388
1114.HK,BRILLIANCE CHI,BRILLIANCE CHI,2026-09-03,2026-09-02,107.68,206181794,99277084,2.385,0.85,86449390,41977625,12032967442
0147.HK,IB SETTLEMENT,国际商业结算,2026-09-03,2026-09-02,107.63,28800479,13871324,0.232,18.97,124140000,71135000,5359525184
0522.HK,ASMPT,ASMPT,2026-09-03,2026-09-02,104.36,374268114,183143865,162.0,2.92,2310297,1163557,67941023346
1071.HK,HUADIAN POWER,华电国际电力股份,2026-09-03,2026-09-02,95.42,31168989,15950100,3.995,1.14,7802000,4038000,46389036536
0293.HK,CATHAY PAC AIR,国泰航空,2026-09-03,2026-09-02,-95.4,250855373,5451275328,14.34,3.31,17493401,392743176,87203376992
2269.HK,WUXI BIO,药明生物,2026-09-03,2026-09-02,94.48,2232332289,1147851652,50.7,2.97,44030222,23311365,208186808014
2698.HK,SOFTCARE,乐舒适,2026-09-03,2026-09-02,-91.68,46567344,559384768,30.2,-1.5,1541965,18244774,18748613473
2162.HK,KEYMED BIO-B,康诺亚－Ｂ,2026-09-03,2026-09-02,89.49,163315131,86185875,80.55,3.6,2027500,1108500,23729995940
1375.HK,CC SECURITIES,中州证券,2026-09-03,2026-09-02,89.39,20833750,11000280,1.75,0.57,11905000,6322000,8125048225
0152.HK,SHENZHEN INT'L,深圳国际,2026-09-03,2026-09-02,88.71,37026952,19621345,5.2,-0.1,7120568,3769711,12745541359
2202.HK,CHINA VANKE,万科企业,2026-09-03,2026-09-02,88.36,76322960,40518845,2.355,1.29,32408900,17427460,28096821031
2232.HK,CRYSTAL INTL,晶苑国际,2026-09-03,2026-09-02,87.22,30611463,16350431,6.995,1.52,4376192,2373067,19955489563
1816.HK,CGN POWER,中广核电力,2026-09-03,2026-09-02,87.04,243116286,129982784,3.05,1.16,79710259,43112033,154021354992
1209.HK,CHINA RES MIXC,华润万象生活,2026-09-03,2026-09-02,86.4,356170556,191081831,40.44,3.59,8807383,4894514,92304296865
2689.HK,ND PAPER,玖龙纸业,2026-09-03,2026-09-02,86.34,100086437,53711532,6.68,-1.91,14983000,7887156,31344034212
3696.HK,INSILICO,英矽智能,2026-09-03,2026-09-02,86.05,518683822,278789131,47.0,4.54,11035826,6200826,27207851902
1060.HK,DAMAI ENT,大麦娱乐,2026-09-03,2026-09-02,85.79,60353301,32485301,0.49,1.03,123170000,66980000,14506840805
9630.HK,CFMEE,芯碁微装,2026-09-03,2026-09-02,82.45,157950493,86573429,319.8,3.7,493904,280718,46852334308
0165.HK,CHINA EB LTD,中国光大控股,2026-09-03,2026-09-02,81.01,48621700,26862000,6.29,3.03,7730000,4400000,10600245784
1999.HK,MAN WAH HLDGS,敏华控股,2026-09-03,2026-09-02,80.83,18198806,10064208,3.055,-0.81,5957056,3267600,11743271172
0303.HK,VTECH HOLDINGS,VTECH HOLDINGS,2026-09-03,2026-09-02,78.88,37964900,21223783,49.72,-1.25,763574,421525,12593796186
1972.HK,SWIREPROPERTIES,太古地产,2026-09-03,2026-09-02,76.01,63007327,35797488,24.12,0.5,2612244,1491562,138870538207
0836.HK,CHINA RES POWER,华润电力,2026-09-03,2026-09-02,74.29,237529177,136287011,18.64,0.11,12742982,7319388,96500353113
2643.HK,CAOCAO INC,曹操出行,2026-09-03,2026-09-02,74.07,22165245,12733338,13.61,-0.07,1628600,934900,7905542767
2714.HK,MUYUAN,牧原股份,2026-09-03,2026-09-02,-73.18,92623355,345374396,35.82,-1.81,2585800,9467500,206788720116
7618.HK,JD INDUSTRIALS,京东工业,2026-09-03,2026-09-02,73.03,30693033,17738429,13.12,-0.23,2339408,1348930,35600091356
6186.HK,CHINA FEIHE,中国飞鹤,2026-09-03,2026-09-02,72.71,51359613,29736899,2.795,-0.89,18375532,10545000,24617423519
0568.HK,SHANDONG MOLONG,山东墨龙,2026-09-03,2026-09-02,-71.69,137735709,486506187,4.73,-4.06,29119600,98682800,3895281779
6806.HK,SWHY,申万宏源,2026-09-03,2026-09-02,70.45,51122439,29992317,2.57,0.98,19892000,11784800,64352655847
2685.HK,QUANTGROUP,量化派,2026-09-03,2026-09-02,-70.16,128639659,431146318,4.04,-2.53,31841500,104016000,2099568592
0914.HK,CONCH CEMENT,海螺水泥,2026-09-03,2026-09-02,70.13,186213212,109450339,16.58,-0.3,11231195,6581500,87493655126
3396.HK,LEGENDHOLDING,联想控股,2026-09-03,2026-09-02,69.65,279195833,164568029,18.48,0.65,15108000,8963400,43543145953
0631.HK,SANY INT'L,三一国际,2026-09-03,2026-09-02,69.51,165065088,97378334,9.645,6.75,17114057,10777901,31729256761
