Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
1102.HK,ENVIRO ENERGY,环能国际,2026-07-22,2026-07-21,7822.79,24231857,305850,0.115,53.33,210711800,4078000,321929366
2562.HK,SYNAGISTICS,狮腾控股,2026-07-22,2026-07-21,3323.63,326534662,9537680,1.54,13.24,212035500,7013000,718228747
6110.HK,TOPSPORTS,滔搏,2026-07-22,2026-07-21,1890.74,396808463,19932760,1.45,-24.08,273661000,10436000,8991772230
0139.HK,SMART FISH,小鱼盈通,2026-07-22,2026-07-21,1196.07,36496914,2815967,0.165,114.29,221193412,36571000,243249900
3808.HK,SINOTRUK,中国重汽,2026-07-22,2026-07-21,643.39,3543855450,476715534,38.64,1.15,91714687,12479464,106684780933
1780.HK,RONGZUN INT'L H,荣尊国际控股,2026-07-22,2026-07-21,597.29,71288349,10223700,3.53,11.01,20195000,3215000,2188599982
0087.HK,SWIRE PACIFIC B,太古股份公司Ｂ,2026-07-22,2026-07-21,395.11,32973572,6659794,13.81,2.45,2387659,494050,50101583627
0590.HK,LUK FOOK HOLD,六福集团,2026-07-22,2026-07-21,382.92,63310938,13109902,24.14,4.59,2622657,568020,14172783140
6938.HK,RIBOLIFE-B,瑞博生物－Ｂ,2026-07-22,2026-07-21,365.41,28638764,6153455,53.95,6.2,530839,121131,9174948074
1548.HK,GENSCRIPT BIO,金斯瑞生物科技,2026-07-22,2026-07-21,322.99,1022968897,241840153,15.62,6.55,65490967,16496600,34125094505
6823.HK,HKT-SS,香港电讯－ＳＳ,2026-07-22,2026-07-21,318.56,409149480,97752444,12.71,1.92,32191147,7839009,96350740884
6603.HK,IFBH,IFBH,2026-07-22,2026-07-21,301.52,38441000,9573828,6.5,12.07,5914000,1650660,1721057000
1164.HK,CGN MINING,中广核矿业,2026-07-22,2026-07-21,250.57,226049671,64481211,2.48,9.25,91149060,28405820,18849693104
1030.HK,SEAZEN,新城发展,2026-07-22,2026-07-21,248.55,25992562,7457332,1.45,2.84,17925904,5288888,10500296076
1770.HK,DKE,东方科脉,2026-07-22,2026-07-21,229.91,16799895,5092275,93.1,17.92,180450,64500,
2698.HK,SOFTCARE,乐舒适,2026-07-22,2026-07-21,227.51,289009243,88244300,31.6,7.92,9145862,3013808,19616468116
1757.HK,GLOBAL CHI BC,环球华商俱乐部,2026-07-22,2026-07-21,226.22,20154661,6178260,5.82,-28.5,3463000,759000,6984000205
2697.HK,TH MEDICAL-B,真健康医疗－Ｂ,2026-07-22,2026-07-21,225.66,33716800,10353360,520.0,7.88,64840,21480,
3939.HK,WANGUO GOLD GP,万国黄金集团,2026-07-22,2026-07-21,219.51,576801914,180524669,10.82,7.02,53308866,17856051,47644200212
0763.HK,ZTE,中兴通讯,2026-07-22,2026-07-21,201.3,1812880334,601681030,25.6,4.92,70815637,24659059,122458494931
1333.HK,BRETON,博雷顿,2026-07-22,2026-07-21,201.21,27261301,9050496,12.1,-5.02,2253000,710400,4706185788
0815.HK,CHI SILVER GP,中国白银集团,2026-07-22,2026-07-21,198.59,27478551,9202695,0.275,7.84,99922000,36089000,1085242852
1773.HK,TIANLI INT HLDG,天立国际控股,2026-07-22,2026-07-21,198.55,18846480,6312570,1.14,-5.79,16532000,5217000,2316457170
0772.HK,CHINA LIT,阅文集团,2026-07-22,2026-07-21,195.19,168070675,56936358,19.0,-5.38,8845825,2835476,19207043513
6693.HK,CHIFENG GOLD,赤峰黄金,2026-07-22,2026-07-21,194.77,848248323,287770850,32.04,15.42,26474666,10366385,60889175882
0119.HK,POLY PROPERTY,保利置业集团,2026-07-22,2026-07-21,194.38,21983649,7467760,1.55,1.97,14183000,4913000,5922833650
0700.HK,TENCENT,腾讯控股,2026-07-22,2026-07-21,188.83,29247015628,10125957720,440.6,-7.05,66379971,21362780,3966117825386
2290.HK,LUNG FUNG GROUP,龙丰集团,2026-07-22,2026-07-21,184.72,23201850,8149015,3.99,7.55,5815000,2196500,1995000004
2259.HK,ZIJIN GOLD INTL,紫金黄金国际,2026-07-22,2026-07-21,179.33,3085356672,1104567135,118.2,9.24,26102849,10208569,316343297092
0968.HK,XINYI SOLAR,信义光能,2026-07-22,2026-07-21,177.68,226547064,81584986,2.17,6.37,104399565,39992641,19849085342
1318.HK,MAO GEPING,毛戈平,2026-07-22,2026-07-21,176.37,180096662,65165714,57.2,6.22,3148543,1210134,28038691053
9863.HK,LEAPMOTOR,零跑汽车,2026-07-22,2026-07-21,159.87,607086880,233608103,33.46,-5.27,18143661,6614046,47573850034
6181.HK,LAOPU GOLD,老铺黄金,2026-07-22,2026-07-21,156.71,734042305,285944626,397.2,6.09,1848042,763741,70202917557
1141.HK,CMBC CAPITAL,民银资本,2026-07-22,2026-07-21,156.56,362804614,141408489,4.6,5.99,78870570,32582600,5046055883
2142.HK,HBM HOLDINGS-B,和铂医药－Ｂ,2026-07-22,2026-07-21,155.55,74453402,29134560,12.6,5.35,5909000,2436000,10524268279
0728.HK,CHINA TELECOM,中国电信,2026-07-22,2026-07-21,153.47,394283240,155553943,4.58,-1.93,86088045,33309195,419102688259
2343.HK,PACIFIC BASIN,太平洋航运,2026-07-22,2026-07-21,153.37,65488011,25846301,3.3,5.43,19844852,8257604,17005918804
1208.HK,MMG,五矿资源,2026-07-22,2026-07-21,152.99,1131201179,447128324,8.47,9.57,133553854,57843250,108809201293
2858.HK,YIXIN,易鑫集团,2026-07-22,2026-07-21,151.7,135766315,53940472,1.37,-13.29,99099500,34139538,9311395508
2256.HK,ABBISKO-B,和誉－Ｂ,2026-07-22,2026-07-21,149.97,15030040,6012840,10.54,-1.31,1426000,563000,7566680201
2610.HK,NANSHAN AL INTL,南山铝业国际,2026-07-22,2026-07-21,149.42,47051387,18863949,27.26,2.25,1726023,707575,16913063694
9929.HK,SEM HLDGS,澳达控股,2026-07-22,2026-07-21,144.35,17206799,7042000,1.56,11.43,11030000,5030000,3119999885
0293.HK,CATHAY PAC AIR,国泰航空,2026-07-22,2026-07-21,144.23,302128195,123708161,13.59,2.57,22231655,9336465,82642530964
2676.HK,NOVOSENSE,纳芯微,2026-07-22,2026-07-21,133.31,109803998,47064000,155.2,-2.39,707500,296000,25376013835
6862.HK,HAIDILAO,海底捞,2026-07-22,2026-07-21,132.88,255331965,109641165,11.34,-3.49,22516046,9331163,61411525201
3330.HK,LINGBAO GOLD,灵宝黄金,2026-07-22,2026-07-21,123.41,1155898350,517390789,19.18,15.13,60265815,31055870,26426147513
9887.HK,LEADS BIOLABS-B,维立志博－Ｂ,2026-07-22,2026-07-21,121.9,106756620,48110974,66.05,3.45,1616300,753500,13136803996
3900.HK,GREENTOWN CHINA,绿城中国,2026-07-22,2026-07-21,117.84,74287386,34101951,7.28,-0.27,10204311,4671500,18488278996
1024.HK,KUAISHOU-W,快手－Ｗ,2026-07-22,2026-07-21,117.33,2926411033,1346528826,42.7,-5.32,68534215,29856516,184748195115
9973.HK,CHERY AUTO,奇瑞汽车,2026-07-22,2026-07-21,115.76,83452154,38679106,24.2,-3.12,3448436,1548403,140568234130
1787.HK,SD GOLD,山东黄金,2026-07-22,2026-07-21,115.25,724643838,336651445,19.86,4.86,36487604,17774627,91553203180
0010.HK,HANG LUNG GROUP,恒隆集团,2026-07-22,2026-07-21,114.04,17158500,8016480,13.5,-1.32,1271000,586000,18381846267
1179.HK,HWORLD-S,华住集团－Ｓ,2026-07-22,2026-07-21,109.99,147910444,70437998,31.88,-2.8,4639600,2147500,98038590916
3296.HK,HUAQIN,华勤技术,2026-07-22,2026-07-21,101.62,664783668,329724007,74.2,7.23,8959349,4764798,112508553174
2585.HK,MOKINGRAN,梦金园,2026-07-22,2026-07-21,97.05,26602260,13500000,31.26,4.2,851000,450000,8447235625
2899.HK,ZIJIN MINING,紫金矿业,2026-07-22,2026-07-21,96.26,3818349655,1945538365,33.42,6.03,114253437,61723932,888661633978
0551.HK,YUE YUEN IND,裕元集团,2026-07-22,2026-07-21,92.89,41451226,21489821,13.52,-0.88,3065919,1575500,21691900905
0144.HK,CHINA MER PORT,招商局港口,2026-07-22,2026-07-21,91.77,71706420,37391100,14.82,1.86,4838490,2569835,62214494855
1513.HK,LIVZON PHARMA,丽珠医药,2026-07-22,2026-07-21,91.47,16894560,8823650,25.98,-1.22,650291,335500,23067827896
2225.HK,JINHAI MED TECH,今海医疗科技,2026-07-22,2026-07-21,-90.36,15001500,155681096,4.11,0.24,3650000,37971000,21741900706
9999.HK,NTES,网易,2026-07-22,2026-07-21,88.67,2786463555,1476905749,193.0,-7.39,14437635,7086880,617841439333
2410.HK,TYK MEDICINES-B,同源康医药－Ｂ,2026-07-22,2026-07-21,88.61,132837903,70429091,7.8,-7.36,17030500,8364500,3000455853
2367.HK,GIANT BIOGENE,巨子生物,2026-07-22,2026-07-21,84.1,162797160,88429326,29.6,2.28,5499904,3055609,31426438805
