Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
0003.HK,HK & CHINA GAS,香港中华煤气,2026-08-19,2026-08-18,1340.48,1622943349,112666768,7.285,7.37,222778776,16605272,135937150816
0762.HK,,,2026-08-19,2026-08-18,881.07,1741010937,177461314,5.495,-12.36,316835482,28303240,168136006498
9888.HK,,,2026-08-19,2026-08-18,380.69,3424543722,712426313,89.95,-11.03,38071638,7046749,244078619606
0291.HK,,,2026-08-19,2026-08-18,161.18,426436979,163273128,21.06,-4.96,20248670,7367921,68318638267
2057.HK,,,2026-08-19,2026-08-18,156.43,582103984,227000130,176.0,-3.72,3307409,1241795,133761267728
0200.HK,,,2026-08-19,2026-08-18,140.41,22949150,9545720,3.23,-3.29,7105000,2858000,7347967822
1801.HK,,,2026-08-19,2026-08-18,133.56,1814105882,776727157,98.25,1.66,18464182,8036494,171045470368
1088.HK,,,2026-08-19,2026-08-18,122.94,495450766,222232377,44.28,1.47,11189042,5092401,960408124504
6098.HK,,,2026-08-19,2026-08-18,106.13,29178913,14155708,5.375,0.75,5428635,2653366,17439894253
1810.HK,,,2026-08-19,2026-08-18,98.77,9326197923,4691901403,27.44,4.81,339876011,179217011,706255282392
0012.HK,HENDERSON LAND,恒基地产,2026-08-19,2026-08-18,95.9,252766878,129030229,27.8,2.28,9092334,4747249,134590554989
0836.HK,,,2026-08-19,2026-08-18,91.2,278522969,145674291,17.88,-1.27,15577348,8043859,92565788046
1277.HK,,,2026-08-19,2026-08-18,80.55,29818051,16514800,2.055,0.24,14510000,8056000,17671989514
0016.HK,SHK PPT,新鸿基地产,2026-08-19,2026-08-18,77.46,513492223,289352246,120.2,2.47,4271982,2466771,348313180091
3988.HK,,,2026-08-19,2026-08-18,71.9,1235727047,718872306,5.41,1.69,228415357,135126369,1743169098748
0023.HK,BANK OF E ASIA,东亚银行,2026-08-19,2026-08-18,70.8,34358779,20115847,16.28,-0.43,2110490,1230327,43041455867
0388.HK,,,2026-08-19,2026-08-18,65.53,1990870672,1202696910,414.6,2.37,4801907,2969622,524067290166
0975.HK,,,2026-08-19,2026-08-18,64.65,93419819,56737447,9.62,-1.23,9711000,5825200,9841608954
0101.HK,,,2026-08-19,2026-08-18,-59.11,22833705,55843174,7.16,0.14,3189065,7810234,37254070106
1209.HK,,,2026-08-19,2026-08-18,-56.09,147199000,335263232,40.84,2.05,3604285,8377392,93217300348
0014.HK,HYSAN DEV,希慎兴业,2026-08-19,2026-08-18,55.08,52331688,33745632,16.86,-0.24,3103896,1996783,17315359266
9992.HK,,,2026-08-19,2026-08-18,-53.85,1084494572,2349866630,150.5,0.27,7205944,15655340,197377658278
0688.HK,,,2026-08-19,2026-08-18,53.11,436365744,284999430,13.96,0.5,31258291,20518317,152790574566
2382.HK,,,2026-08-19,2026-08-18,-52.37,576651017,1210814006,58.4,-3.31,9874161,20046589,62731809959
2015.HK,,,2026-08-19,2026-08-18,51.92,328248699,216061569,47.9,0.04,6852791,4512564,93912357684
0020.HK,SENSETIME-W,商汤－Ｗ,2026-08-19,2026-08-18,-51.49,587597905,1211238469,1.43,-2.39,410907641,826783919,57938722580
1398.HK,,,2026-08-19,2026-08-18,51.27,1177580691,778455180,7.385,1.51,159455742,107004147,2632060290177
6862.HK,,,2026-08-19,2026-08-18,-50.87,112381929,228742067,11.48,-0.26,9789367,19873333,62169688864
6690.HK,,,2026-08-19,2026-08-18,49.53,386859260,258717353,21.24,2.02,18213713,12426386,199180851619
0005.HK,HSBC HOLDINGS,汇丰控股,2026-08-19,2026-08-18,47.44,1361375725,923351623,161.2,-0.56,8445259,5696185,2762817949644
2269.HK,,,2026-08-19,2026-08-18,-45.42,1532089165,2807003855,47.9,-1.4,31985159,57781057,196689315019
6186.HK,,,2026-08-19,2026-08-18,-44.64,20575257,37167102,3.215,0.31,6399769,11596600,28316641267
9633.HK,,,2026-08-19,2026-08-18,-44.54,99186265,178848664,42.14,-0.05,2353732,4242141,473926087231
1997.HK,,,2026-08-19,2026-08-18,43.26,125322253,87478528,32.28,0.87,3882350,2733704,98009414409
3931.HK,,,2026-08-19,2026-08-18,-42.63,65986240,115011386,20.0,-3.94,3299312,5524082,35446037160
1288.HK,,,2026-08-19,2026-08-18,42.47,751050053,527160462,6.22,2.13,120747601,86561650,2176894397260
9988.HK,,,2026-08-19,2026-08-18,-42.43,8784394531,15258962853,124.2,-1.97,70727816,120433806,2381533565098
0883.HK,,,2026-08-19,2026-08-18,-42.27,1055140080,1827564772,24.46,0.16,43137372,74838852,1162582630933
1044.HK,,,2026-08-19,2026-08-18,39.02,121283179,87239320,24.12,1.26,5028324,3662440,27752856883
2318.HK,,,2026-08-19,2026-08-18,-37.54,1879444497,3009227707,54.3,0.74,34612238,55829826,983244946513
0175.HK,,,2026-08-19,2026-08-18,-35.62,1043400974,1620573979,17.93,-1.81,58193026,88749943,193377359035
1093.HK,,,2026-08-19,2026-08-18,34.68,585002556,434379141,8.685,-1.31,67357804,49361265,99056353078
2899.HK,,,2026-08-19,2026-08-18,33.76,1391742715,1040485582,34.9,-1.69,39878013,29309453,928015980882
1361.HK,,,2026-08-19,2026-08-18,-33.55,35993929,54166763,4.93,2.6,7301000,11273000,10686671887
1658.HK,,,2026-08-19,2026-08-18,33.31,231377095,173565541,4.905,1.76,47171679,36009447,589066262575
0384.HK,,,2026-08-19,2026-08-18,33.04,76240181,57305179,5.76,2.13,13236142,10160493,31381361035
0241.HK,,,2026-08-19,2026-08-18,-32.99,174689183,260701722,3.255,0.0,53667950,80092692,52650606492
2601.HK,,,2026-08-19,2026-08-18,-31.09,188712448,273841522,28.46,0.92,6630796,9710692,273794909001
0316.HK,,,2026-08-19,2026-08-18,30.74,373815430,285929993,166.9,1.21,2239757,1733960,110216299238
2628.HK,,,2026-08-19,2026-08-18,-30.65,1335893863,1926277000,26.96,0.3,49550961,71662093,762016420922
2618.HK,,,2026-08-19,2026-08-18,-29.61,225196389,319944041,11.51,-1.29,19565281,27439455,70423130884
3690.HK,,,2026-08-19,2026-08-18,-29.33,3199859397,4528017253,87.05,1.75,36758866,52928312,537258791987
1109.HK,,,2026-08-19,2026-08-18,28.43,347519004,270588461,34.16,-0.23,10173273,7902700,243592894930
3328.HK,,,2026-08-19,2026-08-18,28.38,178745594,139233241,7.425,1.09,24073480,18956194,656101114709
0823.HK,,,2026-08-19,2026-08-18,28.35,237110040,184735789,38.74,0.26,6120548,4780947,101100170012
0267.HK,,,2026-08-19,2026-08-18,-27.26,161494878,222010290,12.36,1.31,13065929,18197565,359555636119
1876.HK,,,2026-08-19,2026-08-18,26.64,45713531,36097813,6.335,-1.09,7216027,5635880,83810587145
1928.HK,,,2026-08-19,2026-08-18,-25.34,131128257,175631231,14.45,0.56,9074620,12222076,116949333185
9999.HK,,,2026-08-19,2026-08-18,25.08,1178722396,942384298,194.4,0.31,6063387,4862664,622323171167
1211.HK,,,2026-08-19,2026-08-18,-24.86,836065328,1112678010,89.4,-0.67,9351961,12363089,815077476222
0322.HK,,,2026-08-19,2026-08-18,-24.19,398486101,525640405,13.88,2.21,28709373,38706952,78234847721
2020.HK,,,2026-08-19,2026-08-18,23.66,448303140,362543018,73.65,2.15,6086940,5028336,204047298809
2018.HK,,,2026-08-19,2026-08-18,-23.52,153134619,200236546,41.66,-3.21,3675819,4652336,48151086083
9961.HK,,,2026-08-19,2026-08-18,-22.42,542385526,699089226,352.4,0.63,1539119,1996257,221908116389
1099.HK,,,2026-08-19,2026-08-18,-21.64,74348683,94884732,16.74,-1.01,4441379,5611161,52239783923
6618.HK,,,2026-08-19,2026-08-18,-21.57,321520883,409968444,38.9,1.04,8265318,10648531,124072761194
2688.HK,,,2026-08-19,2026-08-18,21.16,181748559,150002829,47.2,0.38,3850605,3190192,52479540989
0669.HK,,,2026-08-19,2026-08-18,-20.77,930648257,1174684152,138.5,-1.98,6719482,8313405,253127854828
0981.HK,,,2026-08-19,2026-08-18,20.36,10193218198,8468849615,73.0,-3.76,139633126,111652601,624938837635
