Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
6745.HK,BEFAR GROUP,滨化股份,2026-07-23,2026-07-22,1275.02,362354043,26352550,3.72,23.59,97407000,8755000,8961339735
1477.HK,OCUMENSION-B,欧康维视生物－Ｂ,2026-07-23,2026-07-22,1140.51,104515197,8425200,5.7,-4.2,18336000,1416000,4582354579
7666.HK,METIS TECHBIO-P,剂泰科技－Ｐ,2026-07-23,2026-07-22,941.88,146853838,14095070,12.2,14.34,12037200,1321000,14428913544
1081.HK,DAJIN,大金重工,2026-07-23,2026-07-22,618.11,161479325,22486560,37.72,19.37,4281000,711600,27916039127
2579.HK,CNGR,中伟新材,2026-07-23,2026-07-22,443.35,149242215,27467117,26.94,9.07,5539800,1112029,28137920309
0371.HK,BJ ENT WATER,北控水务集团,2026-07-23,2026-07-22,435.46,116274127,21714789,2.39,-2.45,48650260,8863179,23967184853
0622.HK,OSHIDORI,威华达控股,2026-07-23,2026-07-22,417.02,161123188,31164032,2.5,17.37,64449275,14631000,17358708315
2675.HK,EDGE MEDICAL-B,精锋医疗－Ｂ,2026-07-23,2026-07-22,404.12,59653987,11833300,38.86,6.47,1535100,324200,15157521994
0553.HK,NANJING PANDA,南京熊猫电子股份,2026-07-23,2026-07-22,398.07,26319199,5284280,3.34,3.41,7880000,1636000,3052220608
6715.HK,XUNLONG SCITECH,鲟龙科技,2026-07-23,2026-07-22,378.45,26404884,5518800,74.95,2.67,352300,75600,8160975387
3996.HK,CH ENERGY ENG,中国能源建设,2026-07-23,2026-07-22,314.44,43628480,10527034,1.12,1.82,38954000,9570031,49549005443
0975.HK,MONGOL MINING,MONGOL MINING,2026-07-23,2026-07-22,290.9,35107057,8981137,7.63,5.83,4601187,1245650,7805766979
0165.HK,CHINA EB LTD,中国光大控股,2026-07-23,2026-07-22,267.42,75178260,20461201,6.21,7.44,12106000,3540000,10465425615
0880.HK,SJM HOLDINGS,澳博控股,2026-07-23,2026-07-22,246.67,22191715,6401370,1.51,2.03,14696500,4325250,10723726034
1928.HK,SANDS CHINA LTD,金沙中国有限公司,2026-07-23,2026-07-22,246.37,502836782,145174812,13.86,5.0,36279711,10998092,112174238006
1772.HK,GANFENGLITHIUM,赣锋锂业,2026-07-23,2026-07-22,245.3,1252642280,362768127,40.5,9.88,30929439,9841783,84916123362
1913.HK,PRADA,普拉达,2026-07-23,2026-07-22,237.82,66507275,19687187,40.38,-1.75,1647035,479007,103325315853
2252.HK,MEDBOT-B,微创机器人－Ｂ,2026-07-23,2026-07-22,233.0,344573679,103474803,21.08,-3.39,16346000,4742200,21740443298
1057.HK,ZHEJIANG SHIBAO,浙江世宝,2026-07-23,2026-07-22,232.78,39088759,11746000,3.62,3.43,10798000,3356000,2977929135
1780.HK,RONGZUN INT'L H,荣尊国际控股,2026-07-23,2026-07-22,228.38,234008127,71261874,3.47,-1.7,67437500,20187500,2151400017
2273.HK,GUSHENGTANG,固生堂,2026-07-23,2026-07-22,219.79,41376874,12938832,28.82,-1.57,1435700,441900,6112063427
1364.HK,GUMING,古茗,2026-07-23,2026-07-22,218.97,85862606,26918695,21.7,4.13,3956802,1291684,50754076666
