Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
6182.HK,TWINTEK,乙德投资控股,2026-08-27,2026-08-26,12862.7,63553519,490280,0.67,12.61,94856000,824000,588000000
0147.HK,IB SETTLEMENT,国际商业结算,2026-08-27,2026-08-26,2937.4,35380898,1164840,0.124,81.62,286485000,17130000,3280399129
2877.HK,SHINEWAY PHARM,神威药业,2026-08-27,2026-08-26,1638.91,60988401,3507270,8.35,5.23,7304000,442000,6352914000
0811.HK,XINHUA WINSHARE,新华文轩,2026-08-27,2026-08-26,1590.61,82167022,4860192,8.307,-9.41,9890704,530010,10006450510
1405.HK,DPC DASH,达势股份,2026-08-27,2026-08-26,1406.72,97036733,6440280,33.36,-10.8,2908775,172200,4230242727
2507.HK,CIRRUS,西锐,2026-08-27,2026-08-26,1369.1,246420273,16773601,48.345,4.19,5097120,361500,17128276682
0041.HK,GREAT EAGLE H,鹰君,2026-08-27,2026-08-26,1317.4,27875228,1966640,14.925,-7.41,1867687,122000,11238562801
0995.HK,ANHUIEXPRESSWAY,安徽皖通高速公路,2026-08-27,2026-08-26,1077.63,19955200,1694520,15.59,-0.64,1280000,108000,26824892657
0999.HK,XIAOCAIYUAN,小菜园,2026-08-27,2026-08-26,990.91,39240683,3597048,7.88,-3.79,4979782,439200,8982356628
2652.HK,CF PHARMTECH,长风药业,2026-08-27,2026-08-26,884.4,193527870,19659572,17.01,11.1,11377300,1284100,5647439090
1377.HK,DTECH,鼎泰高科,2026-08-27,2026-08-26,691.24,42599279,5383840,360.4,1.75,118200,15200,150790378530
7489.HK,VOYAH AUTO,岚图汽车,2026-08-27,2026-08-26,671.73,59909698,7762997,2.63,-6.07,22779353,2772499,9144800000
3288.HK,HAITIAN FLAV,海天味业,2026-08-27,2026-08-26,654.74,469803639,62246694,30.56,-6.43,15373156,1905900,169680306276
6186.HK,CHINA FEIHE,中国飞鹤,2026-08-27,2026-08-26,650.62,206991305,27576191,3.05,-6.58,67866000,8446000,25894534229
2268.HK,WUXI XDC,药明合联,2026-08-27,2026-08-26,649.39,6207866584,828388907,74.85,-3.11,82937431,10723481,95610490003
0168.HK,TSINGTAO BREW,青岛啤酒股份,2026-08-27,2026-08-26,510.88,633357997,103679970,41.41,-3.38,15294808,2419038,56450394106
2172.HK,MICROPORT NEURO,微创脑科学,2026-08-27,2026-08-26,398.48,24392101,4893320,8.405,-2.44,2902094,568000,4707539186
3336.HK,JU TENG INTL,巨腾国际,2026-08-27,2026-08-26,391.55,17690730,3598980,3.002,4.62,5892000,1254000,2507389819
3339.HK,LONKING,中国龙工,2026-08-27,2026-08-26,391.2,50516675,10284365,3.163,-0.71,15973652,3229000,13953126000
2586.HK,DMALL,多点数智,2026-08-27,2026-08-26,381.99,16416279,3405922,4.345,-2.91,3778200,761100,3611331801
2076.HK,BOSS ZHIPIN-W,ＢＯＳＳ直聘－Ｗ,2026-08-27,2026-08-26,352.42,33095489,7315200,72.4,14.02,457120,115200,64843278307
2155.HK,MORIMATSU INTL,森松国际,2026-08-27,2026-08-26,344.02,81705262,18401225,7.852,5.19,10405000,2465000,9950897810
0068.HK,MANYCORE TECH,MANYCORE TECH,2026-08-27,2026-08-26,341.93,19198775,4344337,8.77,3.66,2189142,513515,15404066902
6078.HK,HYGEIA HEALTH,海吉亚医疗,2026-08-27,2026-08-26,340.27,66919669,15199761,9.725,-4.0,6881200,1500470,5711300246
3698.HK,HUISHANG BANK,徽商银行,2026-08-27,2026-08-26,330.87,64332612,14930901,4.842,-2.27,13285000,3013300,67226637861
3393.HK,WASION HOLDINGS,威胜控股,2026-08-27,2026-08-26,317.44,259973172,62277321,16.185,-6.39,16062600,3601927,15491336054
1873.HK,VIVA BIOTECH,维亚生物,2026-08-27,2026-08-26,299.72,18781538,4698720,1.485,-4.81,12647500,3012000,2961492519
1779.HK,LONGBIO-B,天辰生物－Ｂ,2026-08-27,2026-08-26,258.16,21634267,6040430,126.85,2.8,170550,48950,10043988360
1364.HK,GUMING,古茗,2026-08-27,2026-08-26,251.66,316006359,89862385,25.27,0.36,12505198,3568800,58940215992
0819.HK,TIANNENG POWER,天能动力,2026-08-27,2026-08-26,247.45,61661847,17747101,4.575,-2.56,13478000,3780000,5016884647
9985.HK,WL DELICIOUS,卫龙美味,2026-08-27,2026-08-26,244.64,44086811,12792239,8.128,-0.28,5424400,1569600,20183956907
3692.HK,HANSOH PHARMA,翰森制药,2026-08-27,2026-08-26,241.17,1183207690,346811583,35.18,10.84,33632966,10926641,223238018674
3881.HK,CIDI,希迪智驾,2026-08-27,2026-08-26,240.74,41988381,12322800,18.1,-7.46,2319800,630000,7925865110
9888.HK,BIDU-SW,百度集团－ＳＷ,2026-08-27,2026-08-26,239.89,3038545294,893989607,95.25,4.79,31900738,9834869,259816882937
9699.HK,SF INTRA-CITY,顺丰同城,2026-08-27,2026-08-26,224.1,23399766,7219888,7.995,-2.97,2926800,876200,7236326005
2661.HK,QINGSONG HEALTH,轻松健康,2026-08-27,2026-08-26,222.36,69979405,21708635,5.11,1.29,13694600,4303000,1046327148
6088.HK,FIT HON TENG,FIT HON TENG,2026-08-27,2026-08-26,210.21,209759611,67618808,5.23,4.5,40107000,13510251,37545411272
2498.HK,ROBOSENSE,速腾聚创,2026-08-27,2026-08-26,205.81,201132249,65769480,18.48,-1.86,10883780,3492803,8898246807
2419.HK,DEKON AGR,德康农牧,2026-08-27,2026-08-26,205.48,43331715,14184840,52.85,2.42,819900,274900,20770738850
0189.HK,DONGYUE GROUP,东岳集团,2026-08-27,2026-08-26,199.67,1035522343,345551609,14.135,7.16,73259450,26198000,24188654452
2097.HK,MIXUE GROUP,蜜雪集团,2026-08-27,2026-08-26,197.12,423366889,142491557,234.7,-5.59,1803864,573176,86477162640
0914.HK,CONCH CEMENT,海螺水泥,2026-08-27,2026-08-26,195.21,176111323,59656773,17.58,-0.68,10017709,3370439,94670457189
