Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
1752.HK,TOP EDUCATION,澳洲成峰高教,2026-06-23,2026-06-22,940700.04,51932162,5520,0.128,39.13,405720000,60000,276206861
1982.HK,NAMESON HLDGS,南旋控股,2026-06-23,2026-06-22,2840.96,15683560,533280,0.74,-15.91,21194000,606000,1686750101
0719.HK,SHANDONG XINHUA,山东新华制药股份,2026-06-23,2026-06-22,1856.99,195172559,9973100,6.27,13.79,31128000,1810000,4368205124
2617.HK,TRANSTHERA-B,药捷安康－Ｂ,2026-06-23,2026-06-22,1851.54,556039912,28492360,11.25,-59.71,49425770,1020500,4589084621
9989.HK,HEPALINK,海普瑞,2026-06-23,2026-06-22,1253.72,15010000,1108800,4.0,3.9,3752500,288000,5869184816
3329.HK,BOCOM INTL,交银国际,2026-06-23,2026-06-22,871.19,132740850,13667894,0.62,24.0,214098144,27335787,1695323053
2291.HK,SCIENTECH,心泰医疗,2026-06-23,2026-06-22,827.3,19954854,2151937,9.0,3.81,2217206,248205,3120749973
2701.HK,NSING TECH,国民技术,2026-06-23,2026-06-22,747.6,753073835,88848257,12.07,10.94,62392200,8166200,8184989062
6090.HK,BUTONG GROUP,不同集团,2026-06-23,2026-06-22,383.75,76276255,15767550,32.18,-3.36,2370300,473500,2905386709
1672.HK,ASCLETIS-B,歌礼制药－Ｂ,2026-06-23,2026-06-22,359.12,47650107,10378540,9.98,3.53,4774560,1076612,10506792271
2591.HK,INNOGEN-B,银诺医药－Ｂ,2026-06-23,2026-06-22,307.79,102273264,25080160,7.96,1.53,12848400,3199000,3636282035
1141.HK,CMBC CAPITAL,民银资本,2026-06-23,2026-06-22,304.26,101690072,25154369,3.28,0.61,31003071,7716064,3598057281
2659.HK,BAO PHARMA-B,宝济药业－Ｂ,2026-06-23,2026-06-22,268.57,47445651,12872961,17.88,1.48,2653560,730588,5828548320
2828.HK,,,2026-06-23,2026-06-22,230.32,12002068371,3633486088,79.34,-2.17,151273871,44802542,
2637.HK,HAIXI PHARMA,海西新药,2026-06-23,2026-06-22,204.77,64640000,21209220,160.0,-5.44,404000,125350,12593163200
2451.HK,LUYUAN GP HLDG,绿源集团控股,2026-06-23,2026-06-22,195.9,17017001,5751000,9.52,5.78,1787500,639000,3904818587
2158.HK,YIDU TECH,医渡科技,2026-06-23,2026-06-22,162.3,113037383,43094686,4.56,-11.46,24788900,8367900,4650035158
1349.HK,FUDANZHANGJIANG,复旦张江,2026-06-23,2026-06-22,158.39,50193151,19425209,2.45,5.15,20487000,8337000,2555350049
1523.HK,PLOVER BAY TECH,珩湾科技,2026-06-23,2026-06-22,152.17,15816319,6271980,8.32,-3.03,1901000,731000,9200039342
2198.HK,CHINA SANJIANG,中国三江化工,2026-06-23,2026-06-22,146.66,30283500,12277600,3.25,9.06,9318000,4120000,3738712250
2590.HK,GEEKPLUS-W,极智嘉－Ｗ,2026-06-23,2026-06-22,129.87,117032688,50913089,12.5,6.75,9362615,4347830,16716087475
2609.HK,BAYZED HEALTH,佰泽医疗,2026-06-23,2026-06-22,125.27,146224156,64909455,5.34,1.52,27382800,12340200,7040613036
2888.HK,STANCHART,渣打集团,2026-06-23,2026-06-22,119.39,330386630,150590172,215.0,1.42,1536682,710331,467964088970
0187.HK,JINGCHENG MAC,京城机电股份,2026-06-23,2026-06-22,117.91,29026800,13320360,3.3,1.23,8796000,4086000,1806703734
3881.HK,CIDI,希迪智驾,2026-06-23,2026-06-22,114.8,243236355,113237561,22.98,3.42,10584698,5096200,10062783237
7347.HK,,南方两倍做空三星电子,2026-06-23,2026-06-22,113.74,57953405,27113932,0.057,21.28,1016726400,576892200,
1117.HK,CH MODERN D,现代牧业,2026-06-23,2026-06-22,112.07,28520029,13448160,0.95,-4.04,30021084,13584000,7424767134
0326.HK,CHINA STAR ENT,中国星集团,2026-06-23,2026-06-22,109.82,17629949,8402353,5.73,-1.72,3076780,1441227,13917632291
2603.HK,JIHONG CO,吉宏股份,2026-06-23,2026-06-22,108.67,57241351,27431140,16.35,10.92,3501000,1861000,7333715629
1908.HK,C&D INTL GROUP,建发国际集团,2026-06-23,2026-06-22,103.28,217578677,107036446,12.81,-1.16,16985064,8258985,27356449327
2162.HK,KEYMED BIO-B,康诺亚－Ｂ,2026-06-23,2026-06-22,102.39,239009000,118094762,59.0,4.06,4051000,2082800,17381374394
1951.HK,JXR,锦欣生殖,2026-06-23,2026-06-22,101.56,41774034,20725630,2.06,1.48,20278658,10209670,5291581290
1609.HK,STAR SPORTS MED,天星医疗,2026-06-23,2026-06-22,100.62,15045000,7499200,170.0,-1.16,88500,43600,9321328480
7666.HK,METIS TECHBIO-P,剂泰科技－Ｐ,2026-06-23,2026-06-22,100.5,39208780,19555620,14.7,6.29,2667264,1414000,17385658169
2186.HK,LUYE PHARMA,绿叶制药,2026-06-23,2026-06-22,98.37,105171900,53017919,1.88,-2.08,55942500,27613500,7509689972
0363.HK,SHANGHAI IND H,上海实业控股,2026-06-23,2026-06-22,97.71,30223281,15286966,12.52,-2.11,2414000,1195228,13611889729
1152.HK,MOMENTUM FIN,正乾金融控股,2026-06-23,2026-06-22,97.58,16014241,8105160,0.36,-14.29,44484000,19298000,1234362230
0863.HK,OSL GROUP,ＯＳＬ集团,2026-06-23,2026-06-22,96.27,16774363,8546600,12.29,1.74,1364879,707500,11051553281
2650.HK,ZHIDA TECH,挚达科技,2026-06-23,2026-06-22,92.17,27215839,14162659,11.38,-8.67,2391550,1136650,3401983152
1318.HK,MAO GEPING,毛戈平,2026-06-23,2026-06-22,91.12,185562753,97092786,52.45,-3.76,3537898,1781519,25710303278
2171.HK,CARSGEN-B,科济药业－Ｂ,2026-06-23,2026-06-22,89.91,315677250,166223563,15.75,-6.36,20043000,9882495,8985926218
9611.HK,LONGCHEER,龙旗科技,2026-06-23,2026-06-22,89.07,22230800,11758032,23.84,4.38,932500,514800,12458561032
1193.HK,CHINA RES GAS,华润燃气,2026-06-23,2026-06-22,89.05,111707908,59089309,15.42,-3.69,7244352,3690775,34853090437
0117.HK,TIANLI HOLDINGS,天利控股集团,2026-06-23,2026-06-22,87.03,145261687,77668360,4.58,-24.17,31716526,12859000,3410954943
1055.HK,CHINA SOUTH AIR,中国南方航空股份,2026-06-23,2026-06-22,85.17,81163613,43832893,3.47,-3.61,23390090,12175804,62879762504
7515.HK,,南方两倍做空日经,2026-06-23,2026-06-22,81.92,16838498,9255802,12.86,8.98,1309370,784390,
1675.HK,ASIAINFO TECH,亚信科技,2026-06-23,2026-06-22,-80.92,29820500,156293569,4.75,-4.23,6278000,31510800,4464816365
1392.HK,HQVT,海清智元,2026-06-23,2026-06-22,-79.95,147687524,736472689,25.1,-5.99,5883965,27583246,
1882.HK,HAITIAN INT'L,海天国际,2026-06-23,2026-06-22,79.57,82131281,45738836,18.76,-3.55,4378000,2351611,29940960365
2314.HK,LEE & MAN PAPER,理文造纸,2026-06-23,2026-06-22,78.53,26096041,14617500,2.92,-6.11,8937000,4700161,12541400327
1071.HK,HUADIAN POWER,华电国际电力股份,2026-06-23,2026-06-22,76.24,38792639,22011194,4.08,-0.97,9508000,5342523,47376037784
0345.HK,VITASOY INT'L,VITASOY INT'L,2026-06-23,2026-06-22,75.42,18620371,10615012,6.26,2.62,2974500,1740166,6371622850
2718.HK,MININGLAMP-W,明略科技－Ｗ,2026-06-23,2026-06-22,-73.79,42933521,163795689,223.0,-7.62,192527,678524,32437838903
3388.HK,CREALITY,创想三维,2026-06-23,2026-06-22,-73.77,31001669,118186469,25.38,-6.62,1221500,4348288,11848401371
6871.HK,ROBOTPHOENIX,翼菲科技,2026-06-23,2026-06-22,-73.6,22956000,86951161,24.0,-2.44,956500,3534600,5878895232
0777.HK,NETDRAGON,网龙,2026-06-23,2026-06-22,72.89,23496991,13590876,7.26,3.57,3236500,1938784,3819487928
1276.HK,HENGRUI PHARMA,恒瑞医药,2026-06-23,2026-06-22,72.02,336545815,195647335,56.15,2.18,5993692,3560461,372678783052
0648.HK,SOFTMEDX-NEW,京玖康疗（新）,2026-06-23,2026-06-22,-71.01,18451397,63647227,5.73,2.5,3220139,11385908,613780028
1440.HK,STAR SHINE HLDG,应星控股,2026-06-23,2026-06-22,70.97,35113000,20537500,14.8,-4.52,2372500,1325000,18644596240
1972.HK,SWIREPROPERTIES,太古地产,2026-06-23,2026-06-22,-69.05,41400649,133761244,20.44,-0.39,2025472,6518579,117682992386
1368.HK,XTEP INT'L,特步国际,2026-06-23,2026-06-22,68.3,55417243,32928066,3.84,-1.79,14431574,8421500,10460272493
6655.HK,HX BLDG MAT,华新建材,2026-06-23,2026-06-22,-67.95,24819442,77447170,12.34,-1.44,2011300,6185876,25654806625
1779.HK,LONGBIO-B,天辰生物－Ｂ,2026-06-23,2026-06-22,-67.52,19990740,61550580,154.0,-0.19,129810,398902,11425745100
0901.HK,SDMC,华曦达,2026-06-23,2026-06-22,67.44,26965721,16104870,68.65,3.7,392800,243276,14384926125
9890.HK,TANWAN,贪玩,2026-06-23,2026-06-22,-66.74,25359445,76242497,11.22,-5.24,2260200,6439400,5848303043
0354.HK,CHINASOFT INT'L,中国软件国际,2026-06-23,2026-06-22,66.38,98565418,59240736,3.07,-4.95,32106000,18340785,7707354230
6699.HK,ANGELALIGN,时代天使,2026-06-23,2026-06-22,-66.33,16116661,47859955,67.7,-0.07,238060,706420,11569684065
9961.HK,TRIP.COM-S,携程集团－Ｓ,2026-06-23,2026-06-22,66.29,1358865180,817168878,348.0,-1.42,3904785,2314926,219137417256
1114.HK,BRILLIANCE CHI,BRILLIANCE CHI,2026-06-23,2026-06-22,-66.16,56296771,166360366,2.03,-4.69,27732400,78103454,10241896713
0081.HK,CH OVS G OCEANS,中国海外宏洋集团,2026-06-23,2026-06-22,66.16,39021300,23484329,2.27,-4.22,17190000,9909000,8079780573
6658.HK,LIULIUMEI,溜溜梅,2026-06-23,2026-06-22,-65.41,30809327,89069344,141.9,-5.46,217120,593400,11183309934
9633.HK,NONGFU SPRING,农夫山泉,2026-06-23,2026-06-22,65.2,226018304,136817031,41.78,0.14,5409725,3279411,469877352463
6030.HK,CITIC SEC,中信证券,2026-06-23,2026-06-22,-64.64,484703128,1370774731,27.98,-1.34,17323200,48334792,414678893491
1336.HK,NCI,新华保险,2026-06-23,2026-06-22,-64.58,410441372,1158881783,51.15,-3.76,8024269,21803984,159564813350
0966.HK,CHINA TAIPING,中国太平,2026-06-23,2026-06-22,-63.97,166579279,462364657,20.06,-3.46,8304052,22250464,72096009952
2477.HK,WELLCELL HOLD,经纬天地,2026-06-23,2026-06-22,-63.71,124473600,343027845,0.375,-6.25,331929600,857569600,1500000000
