Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
2076.HK,BOSS ZHIPIN-W,ＢＯＳＳ直聘－Ｗ,2026-09-15,2026-09-14,156215.2,2219285068,1419750,60.2,-4.6,36865200,22500,53934141836
1780.HK,RONGZUN INT'L H,荣尊国际控股,2026-09-15,2026-09-14,18285.16,135337739,736125,4.585,1.21,29517500,162500,2842700023
7687.HK,EACON,易控智驾,2026-09-15,2026-09-14,5382.02,16344650,298150,67.0,0.0,243950,4450,9907274523
2697.HK,TH MEDICAL-B,真健康医疗－Ｂ,2026-09-15,2026-09-14,2603.16,353891021,13091760,340.2,30.34,1040244,50160,
2028.HK,JOLIMARK,映美控股,2026-09-15,2026-09-14,1156.35,473951847,37724401,3.39,7.62,139808800,11976000,2494219019
9637.HK,ALEBUND-B,礼邦医药－Ｂ,2026-09-15,2026-09-14,698.14,64378587,8066100,23.58,2.52,2730220,350700,8214459194
0301.HK,SANVO CHEMICALS,三和精化,2026-09-15,2026-09-14,644.74,47369373,6360540,7.345,7.86,6449200,934000,3455526691
1081.HK,DAJIN,大金重工,2026-09-15,2026-09-14,501.16,241452675,40164555,33.78,10.9,7147800,1318600,25000099075
1793.HK,WECON HOLDINGS,伟工控股,2026-09-15,2026-09-14,428.9,16467080,3113440,1.61,31.97,10228000,2552000,1277058451
1466.HK,BAIJIN LIFE SCI,佰金生命科学,2026-09-15,2026-09-14,417.08,19836433,3836271,1.32,18.92,15027600,3456100,1230575441
3625.HK,FOURSEMI,傅里叶,2026-09-15,2026-09-14,342.91,138000514,31157916,66.2,7.73,2084600,507045,7414399658
1357.HK,MEITU,美图公司,2026-09-15,2026-09-14,335.77,717238023,164590930,3.88,-8.06,184855155,39002592,17549926424
0667.HK,CHINA EAST EDU,中国东方教育,2026-09-15,2026-09-14,324.45,21313841,5021530,3.925,-0.38,5430278,1274500,8706766344
0999.HK,XIAOCAIYUAN,小菜园,2026-09-15,2026-09-14,318.43,156373998,37371457,8.07,0.75,19377200,4665600,9401765920
0804.HK,PINESTONE,鼎石资本,2026-09-15,2026-09-14,314.65,20027526,4830000,14.09,2.1,1421400,350000,969392193
0921.HK,HISENSE HA,海信家电,2026-09-15,2026-09-14,306.42,18418739,4532000,22.38,-1.24,823000,200000,30993191844
3750.HK,CATL,宁德时代,2026-09-15,2026-09-14,298.53,2978508864,747369072,516.0,-6.01,5772304,1361328,2387413531560
1280.HK,QIDIAN GUOFENG,奇点国峰,2026-09-15,2026-09-14,285.9,20845496,5401746,2.83,-5.98,7365900,1794600,5410577540
